Method,Mean MAPE,Std MAPE,Best MAPE,Median Time (s),Mean Evaluations
hdmr_adaptive,8.987181147983073,0.22946712500862707,8.697114224219318,813.6705176830292,5000.0
optuna,9.103597158753148,0.06111894652258981,9.051515029900887,10.666053295135498,20.0
random_search,9.225467403222625,0.16845702502562263,9.00765362552636,15.026613712310791,20.0
hdmr_standard,9.64956101269887,0.5452686660223968,9.006204185719714,45.42978572845459,200.0
default,9.663572217145418,0.0,9.663572217145418,0.2046194076538086,1.0
