Method,Mean MAPE,Std MAPE,Best MAPE,Median Time (s),Mean Evaluations
random_search,9.225467403222625,0.16845702502562263,9.00765362552636,15.256608247756958,20.0
default,9.663572217145418,0.0,9.663572217145418,0.20826196670532227,1.0
hdmr_standard,10.503000812219437,0.0,10.503000812219437,44.804056882858276,200.0
hdmr_adaptive,10.503000812219437,0.0,10.503000812219437,44.34561038017273,200.0
optuna,999.0,0.0,999.0,0.0,0.0
