method,seed,metrics,params,time,evaluations,error
default,42,"{'mse': 3.7078620391057124, 'rmse': 1.9255809614518191, 'mae': 1.4324898733129374, 'mape': 9.663572217145418, 'smape': 4.950843780585088, 'mase': 1.3050830242235523}","{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0}",3.2178399562835693,1,
default,43,"{'mse': 3.7078620391057124, 'rmse': 1.9255809614518191, 'mae': 1.4324898733129374, 'mape': 9.663572217145418, 'smape': 4.950843780585088, 'mase': 1.3050830242235523}","{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0}",0.20800423622131348,1,
default,44,"{'mse': 3.7078620391057124, 'rmse': 1.9255809614518191, 'mae': 1.4324898733129374, 'mape': 9.663572217145418, 'smape': 4.950843780585088, 'mase': 1.3050830242235523}","{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0}",0.20826196670532227,1,
random_search,42,"{'mse': 3.6843048963307585, 'rmse': 1.9194543225434562, 'mae': 1.4007233600881408, 'mape': 9.417947748412987, 'smape': 4.846243782152221, 'mase': 1.2761418512904588}","{'learning_rate': 0.011748439548007032, 'max_depth': 3, 'subsample': 0.8059264473611898, 'colsample_bytree': 0.569746930326021, 'min_child_weight': 3, 'gamma': 1.8318092164684585}",21.42441701889038,20,
random_search,43,"{'mse': 4.000008699137983, 'rmse': 2.0000021747833134, 'mae': 1.4011746855717737, 'mape': 9.250800835728533, 'smape': 4.824258527085605, 'mase': 1.2765530355075776}","{'learning_rate': 0.04466694238260033, 'max_depth': 5, 'subsample': 0.5145069122121801, 'colsample_bytree': 0.8668741481401414, 'min_child_weight': 4, 'gamma': 4.0102355931433324}",15.256608247756958,20,
random_search,44,"{'mse': 3.245077432231427, 'rmse': 1.8014098457129146, 'mae': 1.2916742070618465, 'mape': 9.00765362552636, 'smape': 4.4768379654625985, 'mase': 1.176791621266541}","{'learning_rate': 0.09865638957001455, 'max_depth': 4, 'subsample': 0.7578687128109197, 'colsample_bytree': 0.5294494606860387, 'min_child_weight': 7, 'gamma': 0.3625390669881806}",13.442358255386353,20,
optuna,42,{'mape': 999.0},{},0.0,0,Optuna not available
optuna,43,{'mape': 999.0},{},0.0,0,Optuna not available
optuna,44,{'mape': 999.0},{},0.0,0,Optuna not available
hdmr_standard,42,"{'mse': 4.824914286809175, 'rmse': 2.1965687530348728, 'mae': 1.5872778695264262, 'mape': 10.503000812219437, 'smape': 5.55357843352068, 'mase': 1.4461040464138244}","{'learning_rate': 0.1505, 'max_depth': 5, 'subsample': 0.75, 'colsample_bytree': 0.75, 'min_child_weight': 5, 'gamma': 2.5}",44.09256601333618,200,
hdmr_standard,43,"{'mse': 4.824914286809175, 'rmse': 2.1965687530348728, 'mae': 1.5872778695264262, 'mape': 10.503000812219437, 'smape': 5.55357843352068, 'mase': 1.4461040464138244}","{'learning_rate': 0.1505, 'max_depth': 5, 'subsample': 0.75, 'colsample_bytree': 0.75, 'min_child_weight': 5, 'gamma': 2.5}",46.41122484207153,200,
hdmr_standard,44,"{'mse': 4.824914286809175, 'rmse': 2.1965687530348728, 'mae': 1.5872778695264262, 'mape': 10.503000812219437, 'smape': 5.55357843352068, 'mase': 1.4461040464138244}","{'learning_rate': 0.1505, 'max_depth': 5, 'subsample': 0.75, 'colsample_bytree': 0.75, 'min_child_weight': 5, 'gamma': 2.5}",44.804056882858276,200,
hdmr_adaptive,42,"{'mse': 4.824914286809175, 'rmse': 2.1965687530348728, 'mae': 1.5872778695264262, 'mape': 10.503000812219437, 'smape': 5.55357843352068, 'mase': 1.4461040464138244}","{'learning_rate': 0.1505, 'max_depth': 5, 'subsample': 0.75, 'colsample_bytree': 0.75, 'min_child_weight': 5, 'gamma': 2.5}",44.215221643447876,200,
hdmr_adaptive,43,"{'mse': 4.824914286809175, 'rmse': 2.1965687530348728, 'mae': 1.5872778695264262, 'mape': 10.503000812219437, 'smape': 5.55357843352068, 'mase': 1.4461040464138244}","{'learning_rate': 0.1505, 'max_depth': 5, 'subsample': 0.75, 'colsample_bytree': 0.75, 'min_child_weight': 5, 'gamma': 2.5}",46.55264234542847,200,
hdmr_adaptive,44,"{'mse': 4.824914286809175, 'rmse': 2.1965687530348728, 'mae': 1.5872778695264262, 'mape': 10.503000812219437, 'smape': 5.55357843352068, 'mase': 1.4461040464138244}","{'learning_rate': 0.1505, 'max_depth': 5, 'subsample': 0.75, 'colsample_bytree': 0.75, 'min_child_weight': 5, 'gamma': 2.5}",44.34561038017273,200,
