run_id,dataset,model,method,fold,mape,rmse,mae,best_val,duration_sec,n_evals,param_p,param_d,param_q,param_P,param_Q
20260416_134549,payten,ARIMA,HDMR-200,1,5.6033,0.8094,0.6467,3.24332723484141,127.55,21,4,2,0,2,2
20260416_134549,payten,ARIMA,HDMR-200,2,4.816,0.8292,0.7554,0.33636688257502684,178.02,21,0,2,4,2,0
20260416_134549,payten,ARIMA,RS-200,1,5.1384,0.9521,0.6463,0.5547158001777572,121.4,20,1,1,2,1,2
20260416_134549,payten,ARIMA,RS-200,2,5.3032,1.0228,0.8361,0.4227253037917404,132.21,20,1,2,4,0,0
20260416_134549,payten,ARIMA,Optuna-200,1,5.2255,0.9746,0.6613,0.4798929814185293,116.94,20,4,1,0,2,2
20260416_134549,payten,ARIMA,Optuna-200,2,8.3125,1.4334,1.3071,0.5040299301200586,112.6,20,0,1,0,0,0
