run_id,dataset,model,method,fold,mape,rmse,mae,best_val,duration_sec,n_evals,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2
20260415_112704,medianova,LightGBM,HDMR-200,3,5.3175,0.3949,0.2948,0.4053117074656574,21.62,201,0.08424977035772162,,,,,,,,,,0.951087683939171,1.0,1.0,6.0,34.0,False,100.0,0.005000000000000002,0.0010000000000000002,9.0,0.0001,0.20751054767522495
20260415_112704,medianova,LightGBM,A-HDMR-200,1,22.3263,0.9866,0.8924,1.0098540060817693,86.39,402,0.06685665900450939,,,,,,,,,,0.4,0.9963437125205705,1.0,3.0,17.0,False,40.0,1.7990989230544931,0.0010000000000000002,93.0,0.38968723963870133,2.0
20260415_112704,medianova,LightGBM,A-HDMR-200,2,24.0814,1.4045,1.3529,1.451931182887429,207.48,302,0.08146249828697062,,,,,,,,,,0.9635133099258609,0.9975655022060015,1.0,122.0,1.0,False,2.0,0.013136080727626872,59.17583857552635,100.0,0.0001,1.3866570841839068
20260415_112704,medianova,LightGBM,A-HDMR-200,3,5.4685,0.3896,0.3038,0.4409782804716903,46.11,402,0.10000000000000002,,,,,,,,,,0.9093331017703993,0.9420037307643975,1.0,12.0,61.0,False,100.0,0.005000000000000002,8.338528204079072,30.0,1.0,2.0
20260415_112704,medianova,LightGBM,A-HDMR-600,1,29.2966,1.2089,1.1512,1.2073818059373544,951.95,1203,0.06351038397708003,,,,,,,,,,0.9994149348281448,0.7061214554357644,1.0,200.0,3.0,False,3.0,0.9071065889592628,0.0011973200418900912,53.0,0.0001,1.9708064623233035
20260415_112704,medianova,LightGBM,A-HDMR-600,2,16.3112,0.9914,0.9213,1.579557213411027,150.2,602,0.10000000000000002,,,,,,,,,,1.0,0.9806462406014749,1.0,5.0,14.0,False,100.0,0.006861425969919003,36.54473871058305,100.0,0.09076478480501818,1.8116045769186113
20260415_112704,medianova,LightGBM,A-HDMR-600,3,5.2272,0.3929,0.2893,0.368414373749181,108.1,602,0.060706346349503316,,,,,,,,,,1.0,0.7,1.0,4.0,1.0,False,100.0,2.0,100.00000000000004,10.0,1.0,1.9549034711549529
20260415_112704,medianova,LightGBM,RS-200,1,17.6202,0.814,0.7091,0.9004637035886344,30.48,200,0.04198881548828258,,,,,,,,,,0.960526922903955,0.9539123649708927,1.0,3.0,2.0,False,17.0,0.0061679678227672475,0.002192998177994716,29.0,0.34249165792139247,0.6735727261591703
20260415_112704,medianova,LightGBM,RS-200,2,23.3024,1.3515,1.3079,1.495106232776753,39.03,200,0.06025868060821554,,,,,,,,,,0.8059947736561299,0.8291511027142405,1.0,6.0,3.0,True,14.0,0.8354185902301455,48.04604317582893,29.0,0.057272630468010906,1.545845319948066
20260415_112704,medianova,LightGBM,RS-200,3,5.6404,0.4122,0.3112,0.35639780395031306,21.8,200,0.07691857390940542,,,,,,,,,,0.7082430955022574,0.8941129483282566,1.0,4.0,5.0,False,3.0,0.5340121120405226,0.5635440469544535,16.0,0.350112499778904,0.058726206938270485
20260415_112704,medianova,LightGBM,Optuna-200,1,17.3056,0.8002,0.6975,0.7149383925217186,52.22,200,0.0927919421635459,,,,,,,,,,0.8889083034540172,0.771129079601637,,2.0,1.0,False,6.0,0.00878917745870914,0.0017401649788459134,68.0,0.16478424147098827,0.0965116908759994
20260415_112704,medianova,LightGBM,Optuna-200,2,12.5876,0.7873,0.7148,1.2724128817748266,28.71,200,0.09651664891387467,,,,,,,,,,0.962173859479391,0.8753325606003128,,3.0,1.0,False,2.0,0.0058552473536473675,1.6993397006289368,87.0,0.029547790858516672,0.3155313294849446
20260415_112704,medianova,LightGBM,Optuna-200,3,5.3603,0.4029,0.2963,0.35476295862155005,35.72,200,0.0239647841980747,,,,,,,,,,0.8358006783087351,0.9524198284578622,,5.0,1.0,False,2.0,0.38086759912226564,0.0645470935269945,21.0,0.016824156567461425,0.04341816500746483
