nohup: ignoring input
/mnt/disk1/erdemy/app2scale/hdmr-opt/hdmr-env/lib/python3.10/site-packages/xgboost/core.py:377: FutureWarning: Your system has an old version of glibc (< 2.28). We will stop supporting Linux distros with glibc older than 2.28 after **May 31, 2025**. Please upgrade to a recent Linux distro (with glibc >= 2.28) to use future versions of XGBoost.
Note: You have installed the 'manylinux2014' variant of XGBoost. Certain features such as GPU algorithms or federated learning are not available. To use these features, please upgrade to a recent Linux distro with glibc 2.28+, and install the 'manylinux_2_28' variant.
  warnings.warn(
2026-04-16 22:03:41,609 | INFO     | hdmr.forecast |   ┌─ [payten][GRU][Optuna-200] fold 1/3  (train=1370  test=30)
2026-04-16 22:08:21,952 | INFO     | hdmr.forecast |   └─ MAPE=10.62%  RMSE=1.0966  MAE=0.9198  best_val=1.0138  evals=200  280.3s  ETA: 2:55:09
2026-04-16 22:08:21,956 | INFO     | hdmr.forecast |   ┌─ [payten][GRU][Optuna-200] fold 2/3  (train=1705  test=30)
2026-04-16 22:39:35,695 | INFO     | hdmr.forecast |   └─ MAPE=20.53%  RMSE=3.1371  MAE=2.9196  best_val=0.8830  evals=200  1873.7s  ETA: 4:25:17
2026-04-16 22:39:35,699 | INFO     | hdmr.forecast |   ┌─ [payten][GRU][Optuna-200] fold 3/3  (train=2040  test=30)
2026-04-16 23:11:43,326 | INFO     | hdmr.forecast |   └─ MAPE=12.69%  RMSE=2.2608  MAE=2.0397  best_val=0.9217  evals=200  1927.6s  ETA: 5:40:08
2026-04-16 23:11:43,329 | INFO     | hdmr.forecast |   [payten][GRU][Optuna-200]  MAPE=14.62±4.27  RMSE=2.1648  MAE=1.9597
2026-04-16 23:11:43,331 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][HDMR-200] fold 1/3  (train=1370  test=30)
2026-04-16 23:23:59,079 | INFO     | hdmr.forecast |   └─ MAPE=29.10%  RMSE=2.6878  MAE=2.4615  best_val=0.6016  evals=201  735.7s  ETA: 5:52:53
2026-04-16 23:23:59,083 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][HDMR-200] fold 2/3  (train=1705  test=30)
2026-04-16 23:42:38,050 | INFO     | hdmr.forecast |   └─ MAPE=7.45%  RMSE=1.3346  MAE=1.0243  best_val=0.6210  evals=201  1119.0s  ETA: 4:33:10
2026-04-16 23:42:38,055 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][HDMR-200] fold 3/3  (train=2040  test=30)
2026-04-17 00:07:06,507 | INFO     | hdmr.forecast |   └─ MAPE=16.13%  RMSE=2.9880  MAE=2.6018  best_val=0.4721  evals=201  1468.4s  ETA: 3:41:32
2026-04-17 00:07:06,510 | INFO     | hdmr.forecast |   [payten][N-BEATS][HDMR-200]  MAPE=17.56±8.90  RMSE=2.3368  MAE=2.0292
2026-04-17 00:07:06,511 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][A-HDMR-200] fold 1/3  (train=1370  test=30)
2026-04-17 00:36:07,969 | INFO     | hdmr.forecast |   └─ MAPE=17.39%  RMSE=1.7168  MAE=1.4585  best_val=0.5836  evals=302  1741.5s  ETA: 4:24:32
2026-04-17 00:36:07,973 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][A-HDMR-200] fold 2/3  (train=1705  test=30)
2026-04-17 01:14:32,488 | INFO     | hdmr.forecast |   └─ MAPE=9.48%  RMSE=1.6446  MAE=1.3449  best_val=0.6249  evals=402  2304.5s  ETA: 5:06:21
2026-04-17 01:14:32,491 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][A-HDMR-200] fold 3/3  (train=2040  test=30)
2026-04-17 01:47:14,527 | INFO     | hdmr.forecast |   └─ MAPE=7.09%  RMSE=1.3375  MAE=1.1549  best_val=0.4623  evals=302  1962.0s  ETA: 5:00:24
2026-04-17 01:47:14,530 | INFO     | hdmr.forecast |   [payten][N-BEATS][A-HDMR-200]  MAPE=11.32±4.40  RMSE=1.5663  MAE=1.3194
2026-04-17 01:47:14,531 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][A-HDMR-600] fold 1/3  (train=1370  test=30)
2026-04-17 02:17:53,065 | INFO     | hdmr.forecast |   └─ MAPE=68.99%  RMSE=6.1237  MAE=5.9082  best_val=0.6022  evals=602  1838.5s  ETA: 4:31:20
2026-04-17 02:17:53,069 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][A-HDMR-600] fold 2/3  (train=1705  test=30)
2026-04-17 03:54:48,446 | INFO     | hdmr.forecast |   └─ MAPE=15.96%  RMSE=2.4851  MAE=2.2213  best_val=0.6003  evals=1003  5815.4s  ETA: 6:13:57
2026-04-17 03:54:48,450 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][A-HDMR-600] fold 3/3  (train=2040  test=30)
2026-04-17 04:57:01,661 | INFO     | hdmr.forecast |   └─ MAPE=12.94%  RMSE=2.2302  MAE=2.0878  best_val=0.4618  evals=602  3733.2s  ETA: 6:19:34
2026-04-17 04:57:01,665 | INFO     | hdmr.forecast |   [payten][N-BEATS][A-HDMR-600]  MAPE=32.63±25.74  RMSE=3.6130  MAE=3.4058
2026-04-17 04:57:01,666 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][RS-200] fold 1/3  (train=1370  test=30)
2026-04-17 05:09:16,628 | INFO     | hdmr.forecast |   └─ MAPE=24.54%  RMSE=2.7334  MAE=2.4015  best_val=0.5680  evals=200  735.0s  ETA: 4:45:39
2026-04-17 05:09:16,632 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][RS-200] fold 2/3  (train=1705  test=30)
2026-04-17 05:28:28,657 | INFO     | hdmr.forecast |   └─ MAPE=14.65%  RMSE=2.7052  MAE=2.1310  best_val=0.5919  evals=200  1152.0s  ETA: 2:04:53
2026-04-17 05:28:28,661 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][RS-200] fold 3/3  (train=2040  test=30)
2026-04-17 05:53:32,797 | INFO     | hdmr.forecast |   └─ MAPE=14.29%  RMSE=2.5957  MAE=2.2906  best_val=0.4587  evals=200  1504.1s  ETA: 0:56:31
2026-04-17 05:53:32,800 | INFO     | hdmr.forecast |   [payten][N-BEATS][RS-200]  MAPE=17.82±4.75  RMSE=2.6781  MAE=2.2744
2026-04-17 05:53:32,801 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][Optuna-200] fold 1/3  (train=1370  test=30)
2026-04-17 06:16:02,768 | INFO     | hdmr.forecast |   └─ MAPE=13.88%  RMSE=1.3929  MAE=1.1269  best_val=0.5636  evals=200  1350.0s  ETA: 0:44:30
2026-04-17 06:16:02,772 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][Optuna-200] fold 2/3  (train=1705  test=30)
2026-04-17 06:41:57,911 | INFO     | hdmr.forecast |   └─ MAPE=11.66%  RMSE=1.9620  MAE=1.6618  best_val=0.5954  evals=200  1555.1s  ETA: 0:24:29
2026-04-17 06:41:57,915 | INFO     | hdmr.forecast |   ┌─ [payten][N-BEATS][Optuna-200] fold 3/3  (train=2040  test=30)
2026-04-17 07:00:44,316 | INFO     | hdmr.forecast |   └─ MAPE=14.29%  RMSE=2.4693  MAE=2.3048  best_val=0.4599  evals=200  1126.4s  ETA: done
2026-04-17 07:00:44,320 | INFO     | hdmr.forecast |   [payten][N-BEATS][Optuna-200]  MAPE=13.28±1.15  RMSE=1.9414  MAE=1.6978
2026-04-17 07:00:44,329 | INFO     | hdmr.forecast | Loaded 'Medianova (CDN Traffic)': 2270 rows, target='traffic', special_days=98 entries
2026-04-17 07:00:44,371 | INFO     | hdmr.forecast | 
[Medianova (CDN Traffic)]  2240 rows after engineering  16 features  3 folds
2026-04-17 07:00:44,372 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][HDMR-200] fold 1/3  (train=1483  test=30)
2026-04-17 07:10:38,346 | INFO     | hdmr.forecast |   └─ MAPE=30.72%  RMSE=1.2997  MAE=1.2151  best_val=1.4385  evals=201  594.0s  ETA: 4:47:05
