2026-04-16 22:09:51,758 | INFO     | hdmr.forecast |   └─ MAPE=5.26%  RMSE=1.0319  MAE=0.7363  best_val=1.0175  evals=200  1895.5s  ETA: 0:20:31
2026-04-16 22:09:51,762 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][Optuna-200] fold 3/3  (train=2040  test=30)
2026-04-16 23:02:40,809 | INFO     | hdmr.forecast |   └─ MAPE=3.10%  RMSE=0.6148  MAE=0.5010  best_val=1.3531  evals=200  3169.0s  ETA: done
2026-04-16 23:02:40,812 | INFO     | hdmr.forecast |   [payten][ARIMA][Optuna-200]  MAPE=6.76±3.75  RMSE=0.9795  MAE=0.7204
2026-04-16 23:02:40,822 | INFO     | hdmr.forecast | Loaded 'Medianova (CDN Traffic)': 2270 rows, target='traffic', special_days=98 entries
2026-04-16 23:02:40,865 | INFO     | hdmr.forecast | 
[Medianova (CDN Traffic)]  2240 rows after engineering  16 features  3 folds
2026-04-16 23:02:40,866 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][HDMR-200] fold 1/3  (train=1483  test=30)
2026-04-16 23:20:24,063 | INFO     | hdmr.forecast |   └─ MAPE=16.75%  RMSE=0.8127  MAE=0.6785  best_val=0.3509  evals=201  1063.2s  ETA: 4:08:04
2026-04-16 23:20:24,066 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][HDMR-200] fold 2/3  (train=1846  test=30)
2026-04-16 23:42:18,167 | INFO     | hdmr.forecast |   └─ MAPE=4.32%  RMSE=0.3110  MAE=0.2405  best_val=0.3337  evals=201  1314.1s  ETA: 4:17:32
2026-04-16 23:42:18,170 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][HDMR-200] fold 3/3  (train=2210  test=30)
2026-04-17 00:07:24,914 | INFO     | hdmr.forecast |   └─ MAPE=5.47%  RMSE=0.4357  MAE=0.3084  best_val=0.4385  evals=201  1506.7s  ETA: 4:18:56
2026-04-17 00:07:24,917 | INFO     | hdmr.forecast |   [medianova][ARIMA][HDMR-200]  MAPE=8.85±5.61  RMSE=0.5198  MAE=0.4091
2026-04-17 00:07:24,918 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][A-HDMR-200] fold 1/3  (train=1483  test=30)
2026-04-17 00:25:35,010 | INFO     | hdmr.forecast |   └─ MAPE=11.69%  RMSE=0.5689  MAE=0.4674  best_val=0.2383  evals=302  1090.1s  ETA: 3:59:00
2026-04-17 00:25:35,014 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][A-HDMR-200] fold 2/3  (train=1846  test=30)
2026-04-17 00:50:24,758 | INFO     | hdmr.forecast |   └─ MAPE=4.29%  RMSE=0.3117  MAE=0.2385  best_val=0.3319  evals=402  1489.7s  ETA: 3:47:01
2026-04-17 00:50:24,761 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][A-HDMR-200] fold 3/3  (train=2210  test=30)
