2026-03-07 13:27:53 | INFO     | hdmr.benchmark | ============================================================
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | HDMR vs. TabArena  |  XGBoost HPO Benchmark  v5.0
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | Run ID   : 20260307_132753
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | Log file : /mnt/disk1/erdemy/app2scale/hdmr-opt/logs/hdmr_tabarena_20260307_132753.log
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | ============================================================
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | Configuration:
2026-03-07 13:27:53 | INFO     | hdmr.benchmark |   dataset      = openml:46917
2026-03-07 13:27:53 | INFO     | hdmr.benchmark |   method       = HDMR-200
2026-03-07 13:27:53 | INFO     | hdmr.benchmark |   basis        = Legendre  degree=3  samples=200  maxiter=1 → 200 evals/fold
2026-03-07 13:27:53 | INFO     | hdmr.benchmark |   outer_folds  = 8  inner_cv=80/20 holdout  seed=42
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | Loading: 'openml:46917'
2026-03-07 13:27:53 | INFO     | openml.config | No config file found at /home/erdemy/.config/openml/config, using default configuration.
2026-03-07 13:27:53 | INFO     | hdmr.benchmark |   Fetching OpenML 46917 (cached under ~/openml/) ...
2026-03-07 13:27:53 | INFO     | openml.datasets.dataset | pickle write concrete_compressive_strength
2026-03-07 13:27:53 | INFO     | hdmr.benchmark |   concrete_compressive_strength | 1030 × 8
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | Dataset : concrete_compressive_strength | 1030 × 8 | y mean=35.818 std=16.698
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | --- Starting 8-Fold Outer CV ---
2026-03-07 13:27:53 | INFO     | hdmr.benchmark | Fold 1/8 | train=901  test=129

  Fold 1/8 |                                              | 0/200 evals [00:00<?, ?eval/s]
  Fold 1/8 |▏                                     | 1/200 evals [00:05<16:55,  5.10s/eval]
  Fold 1/8 |        | 1/200 evals [00:05<16:55,  5.10s/eval], val_rmse=0.2746, best=0.2746
  Fold 1/8 |        | 2/200 evals [00:07<11:05,  3.36s/eval], val_rmse=0.2746, best=0.2746
  Fold 1/8 |        | 2/200 evals [00:07<11:05,  3.36s/eval], val_rmse=0.2649, best=0.2649
  Fold 1/8 |        | 3/200 evals [00:08<07:32,  2.30s/eval], val_rmse=0.2649, best=0.2649
  Fold 1/8 |        | 3/200 evals [00:08<07:32,  2.30s/eval], val_rmse=0.2452, best=0.2452
  Fold 1/8 |▏       | 4/200 evals [00:13<11:52,  3.64s/eval], val_rmse=0.2452, best=0.2452
  Fold 1/8 |▏       | 4/200 evals [00:13<11:52,  3.64s/eval], val_rmse=0.2906, best=0.2452
  Fold 1/8 |▏       | 5/200 evals [00:14<08:30,  2.62s/eval], val_rmse=0.2906, best=0.2452
  Fold 1/8 |▏       | 5/200 evals [00:14<08:30,  2.62s/eval], val_rmse=0.2915, best=0.2452
  Fold 1/8 |▏       | 6/200 evals [00:16<07:12,  2.23s/eval], val_rmse=0.2915, best=0.2452
  Fold 1/8 |▏       | 6/200 evals [00:16<07:12,  2.23s/eval], val_rmse=0.2797, best=0.2452
  Fold 1/8 |▎       | 7/200 evals [00:19<07:46,  2.42s/eval], val_rmse=0.2797, best=0.2452
  Fold 1/8 |▎       | 7/200 evals [00:19<07:46,  2.42s/eval], val_rmse=0.2475, best=0.2452
  Fold 1/8 |▎       | 8/200 evals [00:20<06:44,  2.10s/eval], val_rmse=0.2475, best=0.2452
  Fold 1/8 |▎       | 8/200 evals [00:20<06:44,  2.10s/eval], val_rmse=0.2983, best=0.2452
  Fold 1/8 |▎       | 9/200 evals [00:21<06:03,  1.90s/eval], val_rmse=0.2983, best=0.2452
  Fold 1/8 |▎       | 9/200 evals [00:21<06:03,  1.90s/eval], val_rmse=0.2547, best=0.2452
  Fold 1/8 |▉      | 27/200 evals [01:02<06:19,  2.19s/eval], val_rmse=0.2872, best=0.2452
  Fold 1/8 |▉      | 27/200 evals [01:02<06:19,  2.19s/eval], val_rmse=0.2693, best=0.2452
  Fold 1/8 |▉      | 28/200 evals [01:04<06:10,  2.15s/eval], val_rmse=0.2693, best=0.2452
  Fold 1/8 |▉      | 28/200 evals [01:04<06:10,  2.15s/eval], val_rmse=0.2806, best=0.2452
  Fold 1/8 |█      | 29/200 evals [01:05<05:16,  1.85s/eval], val_rmse=0.2806, best=0.2452
  Fold 1/8 |█      | 29/200 evals [01:05<05:16,  1.85s/eval], val_rmse=0.2762, best=0.2452
  Fold 1/8 |█      | 30/200 evals [01:07<05:54,  2.09s/eval], val_rmse=0.2762, best=0.2452
  Fold 1/8 |█      | 30/200 evals [01:07<05:54,  2.09s/eval], val_rmse=0.2425, best=0.2425
  Fold 1/8 |█      | 31/200 evals [01:09<05:16,  1.87s/eval], val_rmse=0.2425, best=0.2425
  Fold 1/8 |█      | 31/200 evals [01:09<05:16,  1.87s/eval], val_rmse=0.2878, best=0.2425
  Fold 1/8 |█      | 32/200 evals [01:10<04:31,  1.62s/eval], val_rmse=0.2878, best=0.2425
  Fold 1/8 |█      | 32/200 evals [01:10<04:31,  1.62s/eval], val_rmse=0.2676, best=0.2425
  Fold 1/8 |█▏     | 33/200 evals [01:12<04:54,  1.76s/eval], val_rmse=0.2676, best=0.2425
  Fold 1/8 |█▏     | 33/200 evals [01:12<04:54,  1.76s/eval], val_rmse=0.2924, best=0.2425
  Fold 1/8 |█▏     | 34/200 evals [01:13<04:10,  1.51s/eval], val_rmse=0.2924, best=0.2425
  Fold 1/8 |█▏     | 34/200 evals [01:13<04:10,  1.51s/eval], val_rmse=0.2772, best=0.2425
  Fold 1/8 |█▏     | 35/200 evals [01:15<04:20,  1.58s/eval], val_rmse=0.2772, best=0.2425
  Fold 1/8 |█▏     | 35/200 evals [01:15<04:20,  1.58s/eval], val_rmse=0.2484, best=0.2425
  Fold 1/8 |█▎     | 36/200 evals [01:16<03:55,  1.44s/eval], val_rmse=0.2484, best=0.2425
  Fold 1/8 |█▎     | 36/200 evals [01:16<03:55,  1.44s/eval], val_rmse=0.2575, best=0.2425
  Fold 1/8 |█▎     | 37/200 evals [01:16<03:12,  1.18s/eval], val_rmse=0.2575, best=0.2425
  Fold 1/8 |█▎     | 37/200 evals [01:16<03:12,  1.18s/eval], val_rmse=0.2368, best=0.2368
  Fold 1/8 |█▎     | 38/200 evals [01:21<06:01,  2.23s/eval], val_rmse=0.2368, best=0.2368
  Fold 1/8 |█▎     | 38/200 evals [01:21<06:01,  2.23s/eval], val_rmse=0.2729, best=0.2368
  Fold 1/8 |█▎     | 39/200 evals [01:24<06:20,  2.36s/eval], val_rmse=0.2729, best=0.2368
  Fold 1/8 |█▎     | 39/200 evals [01:24<06:20,  2.36s/eval], val_rmse=0.2504, best=0.2368
  Fold 1/8 |█▍     | 40/200 evals [01:25<05:53,  2.21s/eval], val_rmse=0.2504, best=0.2368
  Fold 1/8 |█▍     | 40/200 evals [01:25<05:53,  2.21s/eval], val_rmse=0.2670, best=0.2368
  Fold 1/8 |█▍     | 41/200 evals [01:29<06:49,  2.57s/eval], val_rmse=0.2670, best=0.2368
  Fold 1/8 |█▍     | 41/200 evals [01:29<06:49,  2.57s/eval], val_rmse=0.2948, best=0.2368
  Fold 1/8 |█▍     | 42/200 evals [01:31<06:19,  2.40s/eval], val_rmse=0.2948, best=0.2368
  Fold 1/8 |█▍     | 42/200 evals [01:31<06:19,  2.40s/eval], val_rmse=0.2554, best=0.2368
  Fold 1/8 |█▌     | 43/200 evals [01:34<06:33,  2.51s/eval], val_rmse=0.2554, best=0.2368
  Fold 1/8 |█▌     | 43/200 evals [01:34<06:33,  2.51s/eval], val_rmse=0.2831, best=0.2368
  Fold 1/8 |█▌     | 44/200 evals [01:35<05:28,  2.10s/eval], val_rmse=0.2831, best=0.2368
  Fold 1/8 |█▌     | 44/200 evals [01:35<05:28,  2.10s/eval], val_rmse=0.2937, best=0.2368
  Fold 1/8 |█▌     | 45/200 evals [01:37<05:49,  2.26s/eval], val_rmse=0.2937, best=0.2368
  Fold 1/8 |█▌     | 45/200 evals [01:37<05:49,  2.26s/eval], val_rmse=0.2607, best=0.2368
  Fold 1/8 |█▌     | 46/200 evals [01:41<06:49,  2.66s/eval], val_rmse=0.2607, best=0.2368
  Fold 1/8 |█▌     | 46/200 evals [01:41<06:49,  2.66s/eval], val_rmse=0.2814, best=0.2368
  Fold 1/8 |█▋     | 47/200 evals [01:42<05:27,  2.14s/eval], val_rmse=0.2814, best=0.2368
  Fold 1/8 |█▋     | 47/200 evals [01:42<05:27,  2.14s/eval], val_rmse=0.2667, best=0.2368
  Fold 1/8 |█▋     | 48/200 evals [01:46<06:45,  2.67s/eval], val_rmse=0.2667, best=0.2368
  Fold 1/8 |█▋     | 48/200 evals [01:46<06:45,  2.67s/eval], val_rmse=0.2605, best=0.2368
  Fold 1/8 |█▋     | 49/200 evals [01:46<05:09,  2.05s/eval], val_rmse=0.2605, best=0.2368
  Fold 1/8 |█▋     | 49/200 evals [01:46<05:09,  2.05s/eval], val_rmse=0.3023, best=0.2368
  Fold 1/8 |█▊     | 50/200 evals [01:51<06:54,  2.77s/eval], val_rmse=0.3023, best=0.2368
  Fold 1/8 |█▊     | 50/200 evals [01:51<06:54,  2.77s/eval], val_rmse=0.2678, best=0.2368
  Fold 1/8 |█▊     | 51/200 evals [01:52<05:26,  2.19s/eval], val_rmse=0.2678, best=0.2368
  Fold 1/8 |█▊     | 51/200 evals [01:52<05:26,  2.19s/eval], val_rmse=0.2423, best=0.2368
  Fold 1/8 |█▊     | 52/200 evals [01:52<04:16,  1.73s/eval], val_rmse=0.2423, best=0.2368
  Fold 1/8 |█▊     | 52/200 evals [01:52<04:16,  1.73s/eval], val_rmse=0.2287, best=0.2287
