2026-04-15 11:27:04,657 | INFO     | hdmr.forecast | GPU: NVIDIA GeForce RTX 2080
2026-04-15 11:27:04,657 | INFO     | hdmr.forecast | ======================================================================
2026-04-15 11:27:04,657 | INFO     | hdmr.forecast | FORECAST HPO  run_id=20260415_112704
2026-04-15 11:27:04,657 | INFO     | hdmr.forecast |   Datasets  : ['payten', 'medianova']
2026-04-15 11:27:04,658 | INFO     | hdmr.forecast |   Models    : ['XGBoost', 'LightGBM']
2026-04-15 11:27:04,658 | INFO     | hdmr.forecast |   Methods   : ['HDMR-200', 'A-HDMR-200', 'A-HDMR-600', 'RS-200', 'Optuna-200']
2026-04-15 11:27:04,658 | INFO     | hdmr.forecast |   HORIZON=30  N_FOLDS=3  HDMR_SAMPLES=200  OPTUNA_TRIALS=200  RS_SAMPLES=200  SEED=42
2026-04-15 11:27:04,658 | INFO     | hdmr.forecast | ======================================================================
2026-04-15 11:27:04,673 | INFO     | hdmr.forecast | Loaded 'Payten (Transactions)': 2100 rows, target='transactions', special_days=86 entries
2026-04-15 11:27:04,863 | INFO     | hdmr.forecast | 
[Payten (Transactions)]  2070 rows after engineering  16 features  3 folds
2026-04-15 11:27:04,865 | INFO     | hdmr.forecast |   ┌─ [payten][XGBoost][HDMR-200] fold 1/3  (train=1370  test=30)
2026-04-15 11:31:41,659 | INFO     | hdmr.forecast |   └─ MAPE=11.76%  RMSE=1.2578  MAE=1.0776  best_val=1.1395  evals=201  276.8s  ETA: 2:13:47
2026-04-15 11:31:41,664 | INFO     | hdmr.forecast |   ┌─ [payten][XGBoost][HDMR-200] fold 2/3  (train=1705  test=30)
2026-04-15 11:34:42,509 | INFO     | hdmr.forecast |   └─ MAPE=20.17%  RMSE=3.1344  MAE=2.8979  best_val=1.0974  evals=201  180.8s  ETA: 1:46:47
2026-04-15 11:34:42,513 | INFO     | hdmr.forecast |   ┌─ [payten][XGBoost][HDMR-200] fold 3/3  (train=2040  test=30)
2026-04-15 11:39:10,373 | INFO     | hdmr.forecast |   └─ MAPE=12.26%  RMSE=2.1074  MAE=2.0109  best_val=0.8495  evals=201  267.9s  ETA: 1:48:49
2026-04-15 11:39:10,376 | INFO     | hdmr.forecast |   [payten][XGBoost][HDMR-200]  MAPE=14.73±3.85  RMSE=2.1665  MAE=1.9955
