Parameter,Total_Variance,Mean_Abs_Coeff,Max_Abs_Coeff,Dominant_Degree,Significant_Degrees,Relative_Importance
max_depth,0.6062144897474628,0.19548678054017,0.4733869650723008,8,5,43.311653055162566
min_child_weight,0.5596524202236003,0.1888549135791493,0.4690896182904424,10,5,39.984975394277214
gamma,0.17607843640795776,0.09493963561152272,0.28818746467747447,5,4,12.58011525157361
colsample_bytree,0.024316408337145295,0.04433953290173876,0.09273325211950251,7,7,1.737312220769971
subsample,0.022297197852557345,0.03324460682330307,0.12669174058537372,8,3,1.5930475332164746
learning_rate,0.01109783027301249,0.02653637231084254,0.07383340351204846,10,4,0.792896545000158
