Parameter,Total_Variance,Mean_Abs_Coeff,Max_Abs_Coeff,Dominant_Degree,Significant_Degrees,Relative_Importance
min_child_weight,0.7386436505153718,0.22838579821786334,0.5831531902934112,1,7,46.03307487973739
max_depth,0.5098489257041122,0.1791991415609209,0.4436622079897224,6,4,31.774339030621146
gamma,0.2990544425751639,0.14093372851343539,0.2667828361623824,1,6,18.63739780146415
learning_rate,0.027774477844241162,0.044812590302050766,0.09300813367947992,1,6,1.7309356378511953
colsample_bytree,0.01583301573775116,0.03610834151845312,0.05914695448450951,6,6,0.9867307442762507
subsample,0.01343882066725836,0.030573551895809903,0.0831844945716857,6,5,0.8375219060498676
