Parameter,Total_Variance,Mean_Abs_Coeff,Max_Abs_Coeff,Dominant_Degree,Significant_Degrees,Relative_Importance
min_child_weight,1.0106175689754664,0.24541949701169025,0.633655026664619,7,5,54.359562438143406
max_depth,0.5434975166909515,0.1903380081718477,0.41968722719137014,3,5,29.23389430433984
gamma,0.21159214687398134,0.13027892782382494,0.23942512552693515,1,7,11.381215676942404
subsample,0.04377748965760579,0.05550357241508056,0.11464497992192482,10,6,2.354723740692825
learning_rate,0.030540066158556964,0.04557576134351796,0.11306126838801661,1,4,1.6427031195332495
colsample_bytree,0.019110060503680058,0.03374802077905304,0.09011593168691466,5,5,1.027900720348265
