date,transactions
2016-04-25,5.448013839000001
2016-04-26,4.189564338
2016-04-27,4.187520452
2016-04-28,4.192386339
2016-04-29,4.881069322
2016-04-30,3.562645893
2016-05-01,2.9580594599999994
2016-05-02,4.70944005
2016-05-03,4.147609762
2016-05-04,4.4295163330000005
2016-05-05,4.244367845
2016-05-06,4.407803139
2016-05-07,3.054362727
2016-05-08,2.804411947
2016-05-09,4.549112574
2016-05-10,4.585816974
2016-05-11,4.244391201
2016-05-12,4.10624581
2016-05-13,4.390749415
2016-05-14,4.789589598999999
2016-05-15,3.1239792950000003
2016-05-16,4.973730359000001
2016-05-17,4.344355589999999
2016-05-18,5.205244517
2016-05-19,3.210021264
2016-05-20,4.163018162
2016-05-21,2.9791727420000003
2016-05-22,3.436566573
2016-05-23,4.491402863999999
2016-05-24,4.282801868
2016-05-25,4.420595713000001
2016-05-26,4.700346021
2016-05-27,4.2555900200000005
2016-05-28,2.626459043
2016-05-29,3.704175814000001
2016-05-30,5.275953196
2016-05-31,4.887697738
2016-06-01,4.507115830000001
2016-06-02,4.221970173
2016-06-03,3.874919206
2016-06-04,2.9647441490000004
2016-06-05,3.308105932
2016-06-06,4.608749036000001
2016-06-07,4.578298052
2016-06-08,4.189461222
2016-06-09,4.129332559
2016-06-10,4.409232750000001
2016-06-11,3.352638684
2016-06-12,2.959025175
2016-06-13,5.083491905
2016-06-14,6.337994478
2016-06-15,5.059083282
2016-06-16,3.904582632
2016-06-17,4.339902358
2016-06-18,4.078898035999999
2016-06-19,2.8418899
2016-06-20,5.127677822
2016-06-21,4.356215416
2016-06-22,5.279295499
2016-06-23,4.350491832
2016-06-24,4.250204
2016-06-25,3.467622311000001
2016-06-26,3.848869827
2016-06-27,4.80007594
2016-06-28,4.711160405
2016-06-29,4.508240868
2016-06-30,5.865065711000001
2016-07-01,4.769043609000001
2016-07-02,3.522332023
2016-07-03,2.852183999
2016-07-04,3.4308897699999994
2016-07-05,1.821836119
2016-07-06,1.791441314
2016-07-07,1.939838593
2016-07-08,4.156539672
2016-07-09,3.170180909000001
2016-07-10,3.210227498
2016-07-11,5.162483732
2016-07-12,4.573661878999999
2016-07-13,7.371356564000001
2016-07-14,4.492410684999999
2016-07-15,5.399121507
2016-07-16,2.776215752
2016-07-17,3.313670235
2016-07-18,4.3640063090000005
2016-07-19,4.197697407
2016-07-20,4.663032141
2016-07-21,4.858610799
2016-07-22,4.175074738
2016-07-23,2.91474083
2016-07-24,2.721299879
2016-07-25,5.465972279000001
2016-07-26,4.378467695
2016-07-27,4.829228565
2016-07-28,4.541968627999999
2016-07-29,5.390186822
2016-07-30,3.967219252000001
2016-07-31,3.032654256
2016-08-01,5.424992694
2016-08-02,4.264257529
2016-08-03,4.312076349
2016-08-04,4.496831137000001
2016-08-05,4.167588556
2016-08-06,3.01838969
2016-08-07,2.816215513
2016-08-08,4.3262190480000005
2016-08-09,4.575054099999999
2016-08-10,4.780593979
2016-08-11,4.589224942
2016-08-12,4.885231991
2016-08-13,3.3702876980000003
2016-08-14,4.996671817
2016-08-15,5.279483054
2016-08-16,4.956057886000001
2016-08-17,4.794661714
2016-08-18,5.746420971999999
2016-08-19,4.702703864
2016-08-20,3.856543549
2016-08-21,3.287967723
2016-08-22,5.8267252670000005
2016-08-23,5.501331295
2016-08-24,5.240247369
2016-08-25,4.741939564000001
2016-08-26,5.028374508999999
2016-08-27,3.387561721
2016-08-28,2.740266081
2016-08-29,4.386136710000001
2016-08-30,4.754722817
2016-08-31,4.876934844
2016-09-01,4.728415623000001
2016-09-02,4.283631631
2016-09-03,3.054709688
2016-09-04,2.6294264060000003
2016-09-05,4.527511884
2016-09-06,5.049651705
2016-09-07,4.850088620999999
2016-09-08,4.63691723
2016-09-09,4.6174540340000005
2016-09-10,3.3220376290000004
2016-09-11,2.735592469
