run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,1,42,0.7866700779740883,200,600.24,7.401823902171623,5.816055003122225,0.3709813864065816,0.043880856055795614,5,2.8511515450220326,0.9306584163976294,0.8259752799850891,0.8931593161132533,4.6846886360810345,1.0321996752076952,depthwise,23,0.7877965212205212,0.7874578301000116,0.787020572085462,0.7867785243714328,0.7867785243714328,0.7866700779740883,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,2,42,0.7897040454683409,200,733.89,7.316107530168423,5.769788783522233,0.3837132069029151,0.016290792723913237,7,0.01514321827952131,0.9961855034738013,0.884459307247077,0.7407343360138696,4.707532207967467,0.696956721113126,lossguide,13,0.7905431374082539,0.790336068902548,0.7902229349231206,0.7898119168590496,0.7898119168590496,0.7897040454683409,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,3,42,0.7885869348006435,200,648.76,7.275914575321636,5.691689536924809,0.3991540901654361,0.030843628021000817,4,0.05773231900904971,0.9583122893962505,0.9246082805087067,0.9499887174771542,4.729011623588796,3.306096546062181,lossguide,762,0.7903313272080745,0.789043515786987,0.789043515786987,0.7886729049869482,0.7886395055173632,0.7885869348006435,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,4,42,0.7825788254294112,200,706.5,7.306448501891302,5.773336029623495,0.37668863938383834,0.015815798385161693,5,0.009951891178076945,0.9843634828809112,0.9445872944302303,0.9750021563496097,3.8447467148720853,2.4343502055122714,depthwise,234,0.7832517276822426,0.7832517276822426,0.7832517276822426,0.7825788254294112,0.7825788254294112,0.7825788254294112,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,5,42,0.7763488718865753,200,284.59,7.412223268794561,5.828239666368525,0.37765696744568134,0.06621795055688955,4,0.20101155655942585,0.9996363217867507,0.8429189212469681,0.9406959061992043,3.2247138290383823,0.8390154785084489,depthwise,16,0.7775838942950429,0.7767199475605927,0.7765852211853981,0.7765852211853981,0.7763488718865753,0.7763488718865753,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,6,42,0.7774131496299157,200,986.77,7.435398626051775,5.846544301335691,0.3840118868610961,0.023320866967830072,6,0.0527160295383523,0.857984260988626,0.6763299199213685,0.8801653325333975,3.1083288585735325,1.1436948441561996,depthwise,18,0.7779508144825755,0.7779508144825755,0.7776310160806271,0.7776310160806271,0.7776310160806271,0.7774131496299157,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,7,42,0.7933723891314434,200,908.0,7.438380842031036,5.873744700203016,0.3845417136446637,0.02961511086109523,4,0.5606684089241679,0.9910107504599487,0.9506557462893245,0.961675511723849,2.4665696407274664,0.8252574756637602,lossguide,575,0.7942305695810318,0.7937350060673355,0.7937350060673355,0.7935551001547524,0.7934846327064126,0.7933723891314434,,,
20260309_002910,Food_Delivery_Time,regression,Optuna-200,200,8,42,0.7827697703905233,200,807.25,7.380035679135831,5.806089828476439,0.38391609962557505,0.03977933076759838,4,0.005663768652543193,0.9848659230937306,0.9140089149812056,0.7621956300128949,1.60922871987186,0.9246664315867416,lossguide,26,0.7836523587099158,0.7832054629239624,0.7832054629239624,0.7830080353460113,0.7828037593953503,0.7827697703905233,,,
20260309_002910,diamonds,regression,Optuna-200,200,1,42,0.13286499661680418,200,1166.96,504.8381544202745,262.04043892740617,0.9837206802175553,0.0187171444505125,7,0.0045576490292505685,0.9996349478113356,0.8238455683934995,0.9331135506467052,0.5384114656065015,4.1040058478815755,lossguide,31,0.13339991399913537,0.13339991399913537,0.13339991399913537,0.13303724662675517,0.13287780299394372,0.13286499661680418,,,
20260309_002910,diamonds,regression,Optuna-200,200,2,42,0.13405482918628464,200,1243.29,521.3429255054928,270.572245638996,0.9827063388919984,0.009746777088069291,7,0.014594040738384913,0.9998657089716586,0.9899384496924166,0.9820189283930084,1.618941125199744,0.006438163578667333,lossguide,29,0.1348845161627434,0.1348845161627434,0.1348845161627434,0.13467436488699147,0.13467436488699147,0.13405482918628464,,,
20260309_002910,diamonds,regression,Optuna-200,200,3,42,0.1401223783560223,200,1732.94,527.1635278975755,270.62498158898,0.9826023923981005,0.006300109677981021,5,0.22173824594540467,0.9997709728644575,0.6120984308868203,0.985222297549911,1.0349025144274027,2.4562318846803404,depthwise,617,0.14130691228216619,0.14130691228216619,0.1410474129958231,0.14075922657014195,0.14013861283807513,0.1401223783560223,,,
20260309_002910,diamonds,regression,Optuna-200,200,4,42,0.1349397194553393,200,2338.77,514.1977659908362,258.69566797117585,0.9834663196768907,0.010344119501200236,8,0.10278957458489713,0.9917873661934787,0.6161737761387077,0.6069322303036041,2.8141655898923665,0.08963946038907633,depthwise,415,0.13610166709877633,0.13572158139766544,0.13532358773489672,0.13499916156577402,0.13499916156577402,0.1349397194553393,,,
20260309_002910,diamonds,regression,Optuna-200,200,5,42,0.13272492569143224,200,1903.14,542.8003533893441,277.5231315411364,0.9818662285962553,0.0050557114678625595,10,0.00496683385272038,0.9914455365873904,0.9172363707136613,0.8757842906181673,0.16300846738138747,2.9347791100422205,lossguide,92,0.13405650059249455,0.13392774285800838,0.13392774285800838,0.1328241772387382,0.1328241772387382,0.13272492569143224,,,
20260309_002910,diamonds,regression,Optuna-200,200,6,42,0.12583173401735806,200,974.0,554.311693272176,272.2053327172844,0.9807729893234959,0.01328257976531038,6,0.0016267284830012167,0.9999859032621589,0.8426633248814167,0.8686052962086961,1.9952315952175264,4.428125413729108,lossguide,86,0.12753844765521707,0.12667444430597125,0.12623821938965374,0.12605388605009804,0.12601646958385998,0.12583173401735806,,,
