run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,1,42,0.6333676760569406,200,64.96,0.9338012185787369,0.6556749496794584,0.62074728484022,0.07249193882476476,8,0.03606067218587633,0.6195132246369922,0.7015411012518632,0.6012037825028093,0.21066871455370778,4.163878560294028,depthwise,119,0.6555515136413631,0.6555515136413631,0.6509774570192507,0.6464580643134712,0.6420242585961694,0.6333676760569406
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,2,42,0.5200921013389115,200,70.98,0.9032756663826691,0.6641528316798964,0.676639671249001,0.04439508936103524,8,0.019301276361683398,0.9922241654169366,0.7848394780853148,0.7016630241494491,3.9761507379759378,3.3255481223589776,depthwise,203,0.5317329917640282,0.5273432008747856,0.5273432008747856,0.5267079125521996,0.5241388114857509,0.5200921013389115
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,3,42,0.45274894886917044,200,71.12,0.8424568943588315,0.5995785294081036,0.6679979944796294,0.03729579579428318,7,0.07656785901712504,0.7921934463995959,0.9202002675990872,0.9493940222013195,0.013616168744528197,1.3522169747548956,depthwise,729,0.4745252696779213,0.4689618105543475,0.4689618105543475,0.45582002071658334,0.45274894886917044,0.45274894886917044
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,4,42,0.5510979332512799,200,58.13,0.9899128616061345,0.664616563024774,0.5839551563437306,0.06848469554750453,6,0.009418641962813326,0.7950345068719135,0.9695373390952968,0.9689203376363986,0.2860293111106429,2.7394174961362125,lossguide,721,0.5690449821954496,0.5625453153740749,0.5587042744491195,0.5510979332512799,0.5510979332512799,0.5510979332512799
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,5,42,0.5530906364086178,200,66.61,0.7709069785780268,0.5807945922919079,0.5972380937566175,0.03728798121849961,8,0.0017376623219108453,0.7668839016033592,0.917967155818982,0.7976771048325036,0.049218640297979024,1.58368131343391,depthwise,55,0.5792873898194225,0.5674990226290844,0.5656700341850153,0.5582836020575613,0.5530906364086178,0.5530906364086178
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,6,42,0.583192371295187,200,32.43,0.8516182961892351,0.6274527697942953,0.5993854115652022,0.08090435214314892,8,0.0032632594300051002,0.8003323274326704,0.8282365992845379,0.608900553434051,1.4786327755304065,3.7826115848567854,lossguide,10,0.6024549775377696,0.5983757158631269,0.5962673551882622,0.5902067919837736,0.5894699487570046,0.583192371295187
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,7,42,0.6424880851022234,200,48.61,0.9190781798261548,0.6723769646534878,0.5817058245294882,0.07241199077370172,8,0.6458765433589658,0.6609347462904952,0.7258795424897116,0.608382004505605,2.471517916032354,2.9712247929999207,depthwise,655,0.6570584858712205,0.6512311450021454,0.6498707525866992,0.6433146029755619,0.6433146029755619,0.6424880851022234
20260307_180429,QSAR_fish_toxicity,regression,Optuna-200,200,8,42,0.5162398734495477,200,58.8,0.9745459120381834,0.7041233203516598,0.5830905021733161,0.09991783439977794,6,0.002274027064325202,0.6462728720365589,0.7349939665317776,0.7425772284836694,2.185980353720958,2.838647431850071,lossguide,18,0.5275351785769233,0.5275351785769233,0.5228565335491268,0.5210281939590538,0.5162398734495477,0.5162398734495477
20260307_180429,concrete_compressive_strength,regression,Optuna-200,200,1,42,0.22499708771086807,200,245.68,3.8147975763543815,2.599173476260908,0.9461865117143445,0.04739837280660694,4,0.001272073093714444,0.9899349834995687,0.6778947415602873,0.8335137769006359,0.09468600743686575,0.6232334278434679,depthwise,312,0.2494836154303619,0.24392885088430816,0.23621297185915943,0.22827610923267996,0.2268044224596838,0.22499708771086807
20260307_180429,concrete_compressive_strength,regression,Optuna-200,200,2,42,0.2675619173789268,200,334.7,3.385050308235805,2.2992501217811707,0.9565454030028028,0.06504512327412534,9,0.10165202279289313,0.6883646631086195,0.6128600616302334,0.721024907462473,0.20829937788087702,2.35747639197184,lossguide,24,0.2901054860192955,0.2835995768215833,0.2763901860699447,0.2688367998336527,0.2688367998336527,0.2675619173789268
20260307_180429,concrete_compressive_strength,regression,Optuna-200,200,3,42,0.2334567645153318,200,254.84,5.1702829225107285,2.987009646440678,0.9082069393533708,0.06640667636094177,10,0.003656475446017224,0.6976676911293311,0.6968439850651621,0.7688381464195295,0.44546764565698266,0.2971465155364699,depthwise,596,0.24117373166352654,0.24117373166352654,0.24117373166352654,0.2337080731537589,0.2334567645153318,0.2334567645153318
20260307_180429,concrete_compressive_strength,regression,Optuna-200,200,4,42,0.2431874152416549,200,342.96,3.6607080700605716,2.5885646298633898,0.9441113397490959,0.02747933969080789,4,0.010379352674618095,0.6226347696986311,0.7433522621082402,0.6655633314109859,0.1836604498190734,3.9359981151151975,lossguide,813,0.2613903179379732,0.2552855758749655,0.2431874152416549,0.2431874152416549,0.2431874152416549,0.2431874152416549
20260307_180429,concrete_compressive_strength,regression,Optuna-200,200,5,42,0.32519256730458634,200,216.19,4.3179903229212675,2.8712885453331283,0.9391416018528311,0.02812071148643857,8,0.0260505497351745,0.6010192694440666,0.8228953975447837,0.6878161919937998,0.5094132885897108,4.101614637398383,depthwise,108,0.3395873206907071,0.3252139897053355,0.3252139897053355,0.32519256730458634,0.32519256730458634,0.32519256730458634
