run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_feature_fraction,sens_bagging_fraction,sens_num_leaves,sens_min_data_in_leaf,sens_extra_trees,sens_min_data_per_group,sens_cat_l2,sens_cat_smooth,sens_max_cat_to_onehot,sens_lambda_l1,sens_lambda_l2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,param_bagging_freq,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260327_000558,QSAR_fish_toxicity,regression,HDMR-20,False,20,1,42,0.5491400071095813,21,2.05,1.062595402968558,0.7865110756565725,0.5169152598489379,0.015673280701028903,0.13829064814029612,0.13968301726332658,0.052518318929749334,0.3926138003285332,0.021518178862604175,0.09130164688860734,0.04568173164571932,0.03191353915072896,0.014218967383320581,0.020859042014751188,0.03572782869133435,0.008557399697432034,0.6864615840212334,0.7,2,64,False,2,0.005000000000000002,0.013961824723166824,100,0.7853727605889401,0.6343893815806537,1,0.5491400071095813,,,,,
20260327_000558,QSAR_fish_toxicity,regression,HDMR-20,False,20,2,42,0.6499911066694608,21,1.73,0.9736375376489942,0.7276935966908809,0.5000309937809962,0.10324873014208931,0.06950999461302235,0.04952312109052861,0.08352625733253616,0.3577730115594334,0.03285585394539448,0.006335545467989681,0.009932358486356064,0.0484194692749194,0.08460285529221893,0.07785811681481146,0.07641468598070025,0.10000000000000002,1.0,0.7,200,64,False,2,2.0,0.014867550682757613,100,1.0,2.0,1,0.6554297465421474,,,,,
20260327_000558,QSAR_fish_toxicity,regression,A-HDMR-20,True,20,1,42,0.6102436564793841,32,2.47,1.0635795127827645,0.7744545402778177,0.5160200393738296,7.066075650700345e-05,0.06993964962515768,0.0002788940471632249,0.0001604880208799499,0.6847222308259269,0.00042688922914249573,1.5906948506622054e-05,0.00018238360441731618,0.0004256266221294688,0.0001652942486110542,0.24346825786894585,0.00014371820261236922,0.009557589294222863,0.4,0.7558696204847436,38,64,False,7,0.052166071293729084,0.0026053575774677437,22,0.0001,0.3420101923432651,1,0.6110348307435078,0.6102436564793841,,,,
20260327_000558,QSAR_fish_toxicity,regression,A-HDMR-20,True,20,2,42,0.640964781292682,32,2.17,0.9250324772522457,0.6806347369163506,0.548703021851946,6.213833307456972e-05,0.0009931309769927552,0.004990119399620225,0.09107301435268732,0.8327114191050995,0.0002973771880753442,0.0006050883986296339,0.0011689235373186183,0.0006785227469831973,0.0006437100998017435,0.0008805002695668099,0.06589605559215003,0.03239969027487471,0.8085394941594964,1.0,2,64,False,2,2.0,0.0010000000000000002,20,0.3193784972357868,2.0,1,0.6546031468287883,0.640964781292682,,,,
20260327_000558,QSAR_fish_toxicity,regression,A-HDMR-60,True,60,1,42,0.5649092094788543,62,2.23,1.0470293497981757,0.7594538483734262,0.530965093287671,0.0015686215451143047,1.0502587962900896e-05,2.707794713785749e-05,4.806532907442725e-05,0.8702713373513704,2.5831338491168387e-05,0.0015501045942278502,1.881788221591336e-05,0.1061120812663023,0.0002102612379928548,0.02006799032229482,8.930859781527365e-05,0.10000000000000002,1.0,0.9064304414206604,10,64,False,2,0.3467339236852402,0.025043486853730746,43,0.739282440507816,0.9546586967200036,1,0.5875111063656684,0.5705150999173392,0.5665102806601586,,,
20260327_000558,QSAR_fish_toxicity,regression,A-HDMR-60,True,60,2,42,0.6391496380457723,62,6.45,0.9297812048638301,0.6862103964124665,0.5440575908512454,0.0049174639036927825,0.0008179285271094954,0.13125348583137536,0.0001054352244168326,0.7078163696894793,0.004623871532531697,7.262951896664589e-09,0.00020375727284400576,0.000188363740803187,0.000622747639755969,5.6088012878926565e-05,0.14939448136216046,0.10000000000000002,0.7503652385240813,1.0,24,64,True,100,0.005000000000000002,0.0010000000000000002,100,0.0001,0.9007112471796539,1,0.6476429424107946,0.6391496380457723,0.6391496380457723,,,
20260327_000558,concrete_compressive_strength,regression,HDMR-20,False,20,1,42,0.30499922390925405,21,14.25,6.228041122045412,4.810927044815228,0.8532141708395977,0.026441521286582958,0.08027063164233803,0.06725910506396977,0.048599268628165375,0.3570948758614953,0.1976637388468113,0.01923685495600323,0.011075588504706487,0.045863544198548205,0.024897744014453573,0.02377946593767715,0.09781766105924879,0.10000000000000002,1.0,0.7,2,28,True,2,0.005000000000000002,100.00000000000004,8,0.6979918125138966,1.1920769654440497,1,0.30499922390925405,,,,,
20260327_000558,concrete_compressive_strength,regression,HDMR-20,False,20,2,42,0.27405858942687045,21,18.9,5.118806267264097,3.642526315015727,0.9106099526814326,0.05494971000610116,0.0998180205879885,0.016455757131217576,0.12337915803938072,0.2157952176246374,0.05484509096536759,0.04983387890104777,0.09372371765274735,0.025022519949759004,0.03739905753566416,0.06366877002338511,0.1651091015827038,0.005000000000000002,1.0,1.0,200,7,True,2,0.047979633724784754,26.914143163303418,35,0.19279664769546295,0.690233502262327,1,0.2911266246832351,,,,,
20260327_000558,concrete_compressive_strength,regression,A-HDMR-20,True,20,1,42,0.3054081523298059,32,27.09,5.201788121692835,3.765679427210138,0.8976031716945283,0.07586516939528946,8.452772913939372e-07,0.006697564667006004,0.12604966423362932,0.7891736712185363,0.00041528189969350273,0.0006359477734477648,0.00022688661614003752,0.0001603817934186738,5.102226067046375e-05,0.0002325705139902187,0.0004909943508870005,0.005000000000000002,0.63139804340925,0.7,28,30,False,100,2.0,0.8216676011274086,17,0.0001,0.48018976361135307,1,0.3054081523298059,0.3054081523298059,,,,
20260327_000558,concrete_compressive_strength,regression,A-HDMR-20,True,20,2,42,0.27151740190142004,42,25.59,4.87399899357307,3.418002688750137,0.9189556671574034,0.03873817797837399,0.004497876494105425,0.00010403702341989286,0.8203822971827203,0.13238525657183722,0.0004551169977782201,6.653264360793616e-05,0.00010558977875644077,0.001421827952332805,0.001243579261613534,0.00019585785481880433,0.0004038502606353036,0.02684340493437385,1.0,0.7391592211507341,18,1,False,5,0.05368692472001198,0.11704384749058512,100,0.21101414084769984,2.0,1,0.2900326262482394,0.27151740190142004,,,,
