run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,1,42,0.6492529422143626,200,118.58,0.8915685562171113,0.6570155219825518,0.6542761721690802,0.014220464583719178,0.6224199919005792,0.980613173479787,11,6,False,31,1.2895591476429207,0.0016009833612843534,12,0.8753168516407024,1.6068038299415262,0.6647934496987742,0.6604986717739304,0.6586542181030459,0.6557683886358048,0.6557683886358048,0.6492529422143626,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,2,42,0.5210180960512224,200,27.23,0.9018466739687302,0.6477366767344019,0.6776619814173146,0.05654959168704024,0.7326708985387707,0.7169124411326312,16,1,False,83,0.24796371968999573,0.0040204643028484595,42,0.3122281043209365,1.5988092094768982,0.5442035102635581,0.5442035102635581,0.5391775297143577,0.5311137857614524,0.5210180960512224,0.5210180960512224,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,3,42,0.4555775291313729,200,112.29,0.8606167043592103,0.6369001971748941,0.6535306092257791,0.018486389946060184,0.9820889904145174,0.8289463142475915,54,1,False,16,0.13379036767583857,0.04520633470585005,11,0.1142432643810482,0.23433002956333138,0.4955647657386623,0.46677869805764866,0.46620276351165885,0.46209934828087024,0.45743711814982907,0.4555775291313729,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,4,42,0.555649187878683,200,76.42,0.9775163919473512,0.6613773281429415,0.5943099954775114,0.025891830254680833,0.6242892060085816,0.7136190516434227,148,4,False,24,0.039031007771317947,0.020457245060506588,21,0.20566917487471714,0.9898617011441881,0.569150965069385,0.5614120082201031,0.5593503786710583,0.5593503786710583,0.555649187878683,0.555649187878683,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,5,42,0.5544865680525282,200,29.9,0.7913519265850522,0.5902781406808784,0.5755918047371211,0.07321176484116103,0.7144800179680446,0.753911495202541,200,6,True,11,0.023163434786576852,0.09568627905063298,80,0.17786567536437933,0.08630457406860403,0.5687580040622084,0.5637178632993076,0.5637178632993076,0.5621787847851979,0.5560730938256786,0.5544865680525282,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,6,42,0.5802651679844112,200,27.89,0.8498879027936527,0.6051763081411473,0.6010117659246306,0.09676226390498263,0.9853228566551152,0.7570354615221981,55,11,True,35,0.014350179642258891,0.012817986172265603,42,0.006849772675555868,1.8098487828315073,0.6015901402840422,0.5802651679844112,0.5802651679844112,0.5802651679844112,0.5802651679844112,0.5802651679844112,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,7,42,0.6252070162309592,200,35.91,0.8970099373396714,0.6551636052068709,0.6015522167730587,0.08036625816781473,0.4620867053701053,0.8590585127615327,23,31,False,50,0.9884789236049302,0.07014232721640723,13,0.28850403113994794,0.8343789459893467,0.6553963056839387,0.6480188431716248,0.6409000687585087,0.6315574825329611,0.6252070162309592,0.6252070162309592,,,
20260330_110717,QSAR_fish_toxicity,regression,Optuna-200,200,8,42,0.5068094402135005,200,64.57,0.9563508323964333,0.7036596758000462,0.5985128392910464,0.08331758484304609,0.5994022283112412,0.7353098345235374,11,10,False,8,0.18996279112320702,0.010998225283988923,54,0.9727998255452144,0.2434386122720842,0.5482396956812071,0.5237272455892961,0.5124164254894411,0.5124164254894411,0.5068094402135005,0.5068094402135005,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,1,42,0.215248524058589,200,292.75,4.0879016213247,2.8146787089745047,0.9382056142208347,0.07662220985226258,0.8922953217015597,0.970816799630783,15,17,False,31,0.37908262744529914,0.009396894451998178,40,0.0583699975061672,1.2661802929744432,0.22922980011554978,0.22922980011554978,0.22885480671721117,0.2267321103249777,0.215248524058589,0.215248524058589,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,2,42,0.2648780833580508,200,224.14,3.9103267520018616,2.5691578069713343,0.9420128759547137,0.015474884892929152,0.7074331537879052,0.9653698987676248,32,1,True,11,0.005064213870468237,3.2072498131161677,27,0.3168754442854621,1.4384303727435068,0.2811665833418846,0.2744881429652672,0.2744881429652672,0.2739027940429479,0.27212422110886975,0.2648780833580508,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,3,42,0.2260690792675205,200,279.63,5.145808386911016,2.9090798480026616,0.9090739229299991,0.023527353531053282,0.6455705057074261,0.9481128645570066,28,1,False,7,1.7156977953997758,0.0058591316843892875,73,0.12538969326040406,0.6817564276002086,0.2488991099600353,0.23561451249539722,0.23154505747609935,0.22788552666001965,0.2260690792675205,0.2260690792675205,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,4,42,0.21759616749971578,200,204.51,3.781954596670128,2.622332555214308,0.9403478464502693,0.07912485878806409,0.4734927769892454,0.9996977282152593,6,1,False,13,0.009952656884726626,0.05711039546037818,88,0.10875685130135498,0.3063557552265581,0.2553230567686281,0.2467456338771619,0.2358678503811326,0.22814027814209728,0.21759616749971578,0.21759616749971578,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,5,42,0.32031010616841676,200,91.39,4.712619854180109,3.006454009606364,0.927509348171278,0.09339866915237993,0.40034328179223344,0.8119773251302822,103,16,False,55,0.0632458056889398,53.861409863862626,67,0.37764459175990284,1.4717545680113662,0.3328693888395636,0.3328693888395636,0.3328693888395636,0.32596024368344356,0.32119296812833487,0.32031010616841676,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,6,42,0.26213699657841155,200,187.38,3.8059644881390358,2.8808500545099673,0.9487644642395886,0.07488406426923859,0.7514646709717974,0.7667972590988774,32,2,True,16,0.6910360826241722,0.5848325936354677,14,0.11792355104373298,1.3166890210096391,0.27962349338577547,0.2731271747854436,0.2644560480340817,0.26213699657841155,0.26213699657841155,0.26213699657841155,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,7,42,0.30686204046144167,200,124.4,3.9311824341443797,2.641707243900589,0.9360875963053966,0.082808398837451,0.5121528026334877,0.8836886175514375,7,9,False,2,0.1438396401304812,35.15560813844068,8,0.28465372400306727,1.7243229284855204,0.31323575683823024,0.31323575683823024,0.3109591538788902,0.30986509921412225,0.30710199581869935,0.30686204046144167,,,
20260330_110717,concrete_compressive_strength,regression,Optuna-200,200,8,42,0.22485856631977796,200,143.52,4.48217742643059,2.6085358841149047,0.9391814531006295,0.08219247510680051,0.8376353765934771,0.7112795805220703,76,15,False,5,1.1160006074325453,0.03880254204151156,29,0.17665884504800694,0.4035054652874467,0.25115308382955753,0.2329342509649648,0.22957982085858314,0.22485856631977796,0.22485856631977796,0.22485856631977796,,,
