run_id,dataset,task,method,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,1,42,0.6412853360699248,200,81.82,0.9312162104036019,0.633134672993108,0.6228441216965696,0.08646244641591548,6,0.40366400060930224,0.7437875717878342,0.8471507713198662,0.6307973600924015,0.9944881586657838,3.9358677738556644,lossguide,197,0.6506379548016228,0.6503536875992003,0.6503536875992003,0.6490809451734944,0.6462237964168015,0.6412853360699248,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,2,42,0.5199518129565631,200,55.18,0.8911155632852535,0.6444786976429454,0.6852873691800588,0.05007531109310668,10,0.0032547646669698078,0.8283292897045612,0.7081998962908983,0.6051783464848995,0.4781476668842137,4.0198624867143105,depthwise,272,0.5321245314319903,0.5302347874489177,0.5261750925302411,0.5208424065091148,0.5208424065091148,0.5199518129565631,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,3,42,0.4688335310347572,200,77.65,0.838680112893498,0.6057384699269346,0.6709680891622016,0.026184089538373173,6,0.06741985267828585,0.9659738715738058,0.8654915306717157,0.9115368906408549,0.012146677334606648,2.0806679860050794,lossguide,166,0.4786186785096735,0.4786186785096735,0.4715512720746318,0.4688335310347572,0.4688335310347572,0.4688335310347572,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,4,42,0.5651743590641564,200,80.02,0.9222492400241677,0.6251073069361459,0.6388872504422358,0.03262450973477884,7,1.7241555086927798,0.9653320647776127,0.8671596959233283,0.9638432875275612,1.9287473484572024,4.8660840614516285,lossguide,481,0.5651743590641564,0.5651743590641564,0.5651743590641564,0.5651743590641564,0.5651743590641564,0.5651743590641564,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,5,42,0.5576141174457476,200,87.71,0.7760131637541258,0.5794234370847717,0.5918849502220276,0.07035762876585598,4,0.044485310836911464,0.7436919212341309,0.771654861047864,0.7723215386271477,0.33824633099138735,0.10543512374404819,depthwise,673,0.5650854695516492,0.5633886420481402,0.5633886420481402,0.5576141174457476,0.5576141174457476,0.5576141174457476,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,6,42,0.587618140368656,200,65.04,0.8434099460324554,0.6119140697074148,0.6070708669701801,0.08592725361909971,4,0.6525134777593251,0.9910960521548986,0.8525152895599604,0.809684282168746,1.8978970297485591,2.5781161390245897,depthwise,276,0.601354091713854,0.5966748192320722,0.5966748192320722,0.587618140368656,0.587618140368656,0.587618140368656,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,7,42,0.6497092909693479,200,98.58,0.8805050938640628,0.6358920210948033,0.6160800751761959,0.09802109210201339,9,0.002240053388552511,0.6162252262234688,0.6479011982679367,0.8316349588334561,2.280503583055828,0.20266424777107314,lossguide,23,0.6516891393313471,0.6497092909693479,0.6497092909693479,0.6497092909693479,0.6497092909693479,0.6497092909693479,,,
20260307_180440,QSAR_fish_toxicity,regression,RS-200,200,8,42,0.5208101584268939,200,117.07,0.9562965418753306,0.6930413657838264,0.5985584215768425,0.07231930679114439,7,0.04282680949829962,0.7026894621551036,0.7715612918138504,0.7487754091620445,1.5848219924197533,1.3236983768224717,lossguide,20,0.5278837357040846,0.5278837357040846,0.5278837357040846,0.5261707609258741,0.5208101584268939,0.5208101584268939,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,1,42,0.2351667749406711,200,445.38,3.8936056040463427,2.839510997413134,0.9439401327211845,0.04666198760510412,9,0.28843969236800754,0.855433377251029,0.6516871571540832,0.6769412312656641,1.236511736094486,4.146871498004999,depthwise,22,0.25292292798019356,0.23926074449162854,0.23720077209536064,0.2351667749406711,0.2351667749406711,0.2351667749406711,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,2,42,0.27670809171353333,200,326.36,3.4333202773097633,2.3796371645291345,0.9552972635991764,0.06596220335143042,10,0.01442858354964189,0.649770925194025,0.7782006178051233,0.8637562278658151,1.220281674020365,2.525692802299932,depthwise,23,0.27982195332955434,0.27982195332955434,0.2774548197879733,0.27670809171353333,0.27670809171353333,0.27670809171353333,,,
