run_id,dataset,task,method,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,1,42,0.6526735266715386,200,37.31,0.9001809859036648,0.6507433271740766,0.6475646223624918,0.09389351853122657,0.8541088670492172,0.9177263903431594,68,23,False,2,0.01696121211082226,0.007949199653372695,17,0.745052076468803,1.6168681515967473,0.6588261977754094,0.6566519487928784,0.6566519487928784,0.6565690654343782,0.6526735266715386,0.6526735266715386,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,2,42,0.5376159968661355,200,29.9,0.8955852572246111,0.6588279365049272,0.6821223544253954,0.06479389817356421,0.7307348977774382,0.7003086239099502,33,1,False,21,0.00972644206517834,0.0024731475669026192,10,0.47905453637931494,1.7033580286809242,0.5469463950321085,0.5453622735935973,0.5420755730156869,0.5376159968661355,0.5376159968661355,0.5376159968661355,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,3,42,0.4701406206795651,200,46.29,0.8229606768438731,0.5993460278452638,0.6831866325560673,0.006263381117741075,0.7953771324828267,0.9424503286369145,42,1,False,39,0.0749421947622426,0.19765614685764962,37,0.49488285366892815,0.09896854306804016,0.483930465628717,0.483930465628717,0.4812787791832403,0.4701406206795651,0.4701406206795651,0.4701406206795651,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,4,42,0.5585909641030496,200,46.05,0.9348027387356942,0.636157091639014,0.628989532986316,0.08265442493535348,0.9390238549560308,0.8835833461955189,30,1,False,31,0.04306218369056175,14.258469822355245,12,0.12877483521159738,1.7840700626651755,0.5736774242935571,0.5585909641030496,0.5585909641030496,0.5585909641030496,0.5585909641030496,0.5585909641030496,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,5,42,0.5564066476442755,200,48.99,0.8002215055967855,0.6032872735085048,0.5660248411444859,0.03548603759736965,0.8687405597418547,0.7013541431166231,9,2,True,21,0.008560353828322655,3.920605247751591,28,0.5362274899839423,1.4848517609698697,0.5639817718506596,0.5639817718506596,0.5639817718506596,0.562374709080731,0.5564066476442755,0.5564066476442755,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,6,42,0.5858687972198358,200,33.28,0.8360546453633421,0.6228450191298905,0.6138943807984256,0.06994289119744058,0.8559393310919404,0.7948685389943421,10,24,False,7,0.00873581548170737,0.005663280550293421,15,0.8952338921839371,0.05492773511782289,0.5867790766141083,0.5867790766141083,0.5867790766141083,0.5867790766141083,0.5858687972198358,0.5858687972198358,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,7,42,0.638789072177738,200,41.94,0.9036931845742937,0.663901407247095,0.595592761684479,0.07067782331913466,0.6213328128680586,0.9040590442717076,19,38,False,7,1.1669001710736902,1.872439404368706,11,0.9948836652722209,0.6941026275390759,0.656556088725405,0.6405247532847291,0.6405247532847291,0.6405247532847291,0.6405247532847291,0.638789072177738,,,
20260330_110706,QSAR_fish_toxicity,regression,RS-200,200,8,42,0.5123530560536145,200,46.43,0.9614187959617425,0.7017781583883477,0.5942463849582491,0.028698058425421853,0.4841739717870951,0.8046038697473704,181,14,False,7,0.018447067331682217,0.03706411599429483,53,0.048554774252977224,1.9387712677539326,0.531609514440274,0.525014184469879,0.525014184469879,0.5248950929858125,0.5123530560536145,0.5123530560536145,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,1,42,0.22303832340183405,200,234.36,4.026455088274803,2.6435851614128762,0.9400493540100465,0.06848892498758442,0.46512097492814064,0.9518666120246053,21,11,False,3,0.0156895605972569,23.594575830714323,25,0.0073143965238705285,1.342702942091599,0.23978503386192274,0.23978503386192274,0.2359150239952547,0.22935199325466676,0.22303832340183405,0.22303832340183405,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,2,42,0.2666732148550032,200,254.48,3.4387653599819124,2.2307229233688552,0.9551553583330694,0.024795386162979157,0.583037949167192,0.9790631086565554,113,1,True,92,1.4296401503127258,0.007811546605125829,16,0.008490083007141947,1.917375136269629,0.27922850992944076,0.27151297531986024,0.27151297531986024,0.2666732148550032,0.2666732148550032,0.2666732148550032,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,3,42,0.23576056424723568,200,211.16,4.953612924989902,2.8233538544141585,0.9157392405889707,0.05007908004574874,0.8282860305160284,0.878530755918473,116,15,False,30,0.029525953628403327,10.143282987547506,21,0.02919220749102533,0.48996634163744746,0.24485550284623994,0.24361079677924094,0.24361079677924094,0.24002446701512176,0.24002446701512176,0.23576056424723568,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,4,42,0.24427895762272633,200,269.39,4.1704934353912835,3.0679580728863316,0.9274615302653079,0.054195588316521,0.4395853728055954,0.9671545035205782,4,19,False,3,0.014911778138703272,0.1281104634233901,14,0.1433102624115534,0.9685765271027572,0.2643812758932827,0.25017580214184804,0.25017580214184804,0.24680548990031634,0.24427895762272633,0.24427895762272633,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,5,42,0.32795794993842564,200,151.69,4.201978761701939,2.7844942048723453,0.9423678404155276,0.09165260553778402,0.555653134919703,0.8293632467277348,6,8,False,6,0.4004125654892923,0.005003728792681167,29,0.011780111039616167,1.9532429151026531,0.33419681508333654,0.33419681508333654,0.33419681508333654,0.3297956191167191,0.32795794993842564,0.32795794993842564,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,6,42,0.26340048796173915,200,213.92,4.133133508636006,3.2162827539811416,0.9395772222676045,0.05196461791377612,0.934737054631114,0.9447669304907322,73,3,True,83,0.015403644693141566,24.16647413431715,9,0.062450623759627344,0.76058369314624,0.2734267458419952,0.2734267458419952,0.2723723216538652,0.26839069838198953,0.26753355284518865,0.26340048796173915,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,7,42,0.3068513388203736,200,244.62,4.26532504181202,2.968329294253735,0.9247609992409391,0.0838124596811554,0.403039518930018,0.8303198308683931,14,2,True,44,0.23945920069707524,0.006617675844686403,64,0.03734492942560465,0.9171502906437963,0.31711889985040653,0.3068513388203736,0.3068513388203736,0.3068513388203736,0.3068513388203736,0.3068513388203736,,,
20260330_110706,concrete_compressive_strength,regression,RS-200,200,8,42,0.2311359829954258,200,271.46,4.654182619157608,2.7725914900517497,0.9344240197184388,0.06140805501745788,0.8449960082769394,0.8196031943894923,29,21,False,3,0.1204580415648759,20.485506479624913,91,0.263873934596125,0.024768000247888267,0.2452303306277824,0.2452303306277824,0.2311359829954258,0.2311359829954258,0.2311359829954258,0.2311359829954258,,,
20260330_110706,healthcare_insurance_expenses,regression,RS-200,200,1,42,0.4043232609191697,200,53.13,4079.7520093555704,2382.8942449550364,0.8335752719585566,0.03767215974462559,0.9402769198641181,0.9314677625894546,3,5,False,3,0.011770996431625104,0.010138487793486797,72,0.7959787806519307,1.2134904372710735,0.40733518773077104,0.40733518773077104,0.4051552541768627,0.40467795519243743,0.4043232609191697,0.4043232609191697,,,
20260330_110706,healthcare_insurance_expenses,regression,RS-200,200,2,42,0.37559323755639434,200,54.14,3623.072026873519,2346.798688323072,0.8913331924480309,0.010820266274910237,0.9323122963309288,0.8422994882799685,9,54,True,3,0.009306696791267215,11.697197962618421,80,0.7994821170317009,0.7823078870926052,0.37559323755639434,0.37559323755639434,0.37559323755639434,0.37559323755639434,0.37559323755639434,0.37559323755639434,,,
