run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_max_depth,sens_min_child_weight,sens_subsample,sens_colsample_bylevel,sens_colsample_bynode,sens_reg_alpha,sens_reg_lambda,sens_grow_policy,sens_max_leaves,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260310_003731,houses,regression,HDMR-200,False,200,1,42,0.37523119536297167,201,1366.3,0.20437941302569856,0.14344985833094592,0.8666046953286533,0.01131343975400848,0.1910870447728083,0.005083504686307027,0.1925170468562302,0.10317819735319857,0.05632196880481319,0.06147391710083215,0.03089317688758268,0.03228231579007419,0.31584938799414514,0.02198319514481741,7,0.0010000000000000002,0.9999999983957818,0.9999999970394878,0.9181800499583452,3.7148132121455797,0.539616762993013,lossguide,160,0.3801961539129951,0.37688575741351393,0.37688575741351393,0.37523119536297167,0.37523119536297167,0.37523119536297167
20260310_003731,houses,regression,HDMR-200,False,200,2,42,0.3913609325559794,201,1148.42,0.21775523456288667,0.14838557719357387,0.8591435489062437,0.06529300322113124,0.26350734303190443,0.0028974662958012173,0.1463379039495719,0.08802826592044426,0.02651569690011306,0.015631451560413682,0.005756755191516772,0.04231568711323842,0.3437164268158649,0.032308831150029166,8,0.0567618052119462,0.9870598162557617,0.9999999961747866,0.9999999963114033,1.316181545830858,3.7954589188551475,lossguide,80,0.392044059502473,0.392044059502473,0.3915982060951948,0.3913609325559794,0.3913609325559794,0.3913609325559794
20260310_003731,houses,regression,HDMR-200,False,200,3,42,0.36875737852572255,201,1321.13,0.2161533800803602,0.14602523917018476,0.860066013812291,0.06512928205763767,0.34012349292559785,0.006772377744248302,0.10730079171986405,0.0764546567994873,0.13855027727976998,0.034835007607520826,0.009542742078448003,0.050947477306335115,0.1703438944810909,0.025222841361413464,8,0.0707098719696477,0.9999999965259578,0.9999999971460081,0.9280936772249435,3.039946864157537,0.0001,lossguide,64,0.3739770855929108,0.3708208135400445,0.3695744905816126,0.3695744905816126,0.36875737852572255,0.36875737852572255
20260310_003731,houses,regression,HDMR-200,False,200,4,42,0.38564609450200327,201,1576.6,0.21397316541533973,0.14435876704117157,0.8533107410622328,0.025395221133107507,0.2727620103022306,0.04210562040758908,0.18301691119740898,0.0810504304018836,0.10179761849395405,0.060257088467416745,0.008714195998271109,0.010474247368377581,0.2144266562297607,0.03280614588266219,8,0.01272519854808961,0.9999999964451141,0.9999999964048515,0.9999999972153999,4.999999959042132,3.8306453154743476,lossguide,132,0.39200399951548687,0.38980030257332254,0.3892626035341803,0.38704306487133777,0.38704306487133777,0.38564609450200327
20260310_003731,houses,regression,HDMR-200,False,200,5,42,0.39779256891735565,201,1161.94,0.22286092425544615,0.15231577764153864,0.8479422199647307,0.07177093309050059,0.15956630849173492,0.0045619231037232685,0.1071864944679538,0.1647275847802333,0.08389974057547557,0.07816129071574549,0.007370102743287529,0.050570810048307255,0.27218481198303823,0.021321701657147266,7,0.005634171450736482,0.9027088482465688,0.8113849858988803,0.9999999964551722,1.5025853999932688,3.4042457303000844,lossguide,57,0.402443300704931,0.4008121433586941,0.40055794693295066,0.40006305846871154,0.39987150018370055,0.39779256891735565
20260310_003731,houses,regression,HDMR-200,False,200,6,42,0.35867337995741383,201,1455.16,0.2173520416776653,0.1492132850821712,0.8564948697409708,0.09923366543489635,0.1622083998971909,0.007165337172339638,0.17666678644736436,0.11627187528657298,0.05182196674305276,0.06528452417638723,0.014657696678988329,0.04116644389870935,0.2655233042644981,0.02018689289834299,10,4.584402861368191,0.9999999971264404,0.9129834544390361,0.7486905679266638,0.0001,3.095626459717386,lossguide,53,0.3650654603635593,0.3650654603635593,0.36159543895023455,0.36127196122258237,0.35867337995741383,0.35867337995741383
20260310_003731,houses,regression,HDMR-200,False,200,7,42,0.3908644910478478,201,1415.71,0.22120423841535813,0.14701145226008555,0.8502997115306904,0.004566281913176742,0.27242070186730044,0.04763427395379961,0.2224291953264875,0.06382586002045718,0.05972975603784039,0.06915434055241206,0.013788102850175054,0.027653549791212574,0.21879793768713832,0.006863574282058913,8,0.27609984046865704,0.9999999972901247,0.911168880395369,0.9197231359325048,3.391228448584025,4.248976161490758,lossguide,82,0.39113379272427934,0.39113379272427934,0.39113379272427934,0.39113379272427934,0.3908644910478478,0.3908644910478478
20260310_003731,houses,regression,HDMR-200,False,200,8,42,0.3739403405247179,201,1369.86,0.20720719541307364,0.14456985181470638,0.8617914503287117,0.06064500696083985,0.24038719089991994,0.03429541415820123,0.24894915895967662,0.06985479553743418,0.11491988387500413,0.014868135127916758,0.013774934234657544,0.012028214404011603,0.19027726584233812,0.019303606726252413,6,0.7679016496101637,0.8,0.9999999973110907,0.9189995109576465,3.743959166766794,2.052860159929119,lossguide,114,0.37712301590892533,0.3759120451874099,0.3748970342448753,0.37405485011672746,0.3739403405247179,0.3739403405247179
20260310_003731,houses,regression,A-HDMR-200,True,200,1,42,0.37523119536297167,202,1172.12,0.20456830869801848,0.14350861756619404,0.8663580027699941,0.045817667876617216,0.12235348566586517,0.020676157507535525,0.11038413906378229,0.027934774887167144,0.012777896290520369,0.11354831313697764,0.03663988543269175,0.03986600451353351,0.47000167562530953,0.01055052289452978,7,0.07071067811865474,0.9999999982479765,0.9999999951707648,0.8974891534291869,3.988132805906626,0.0001,lossguide,247,0.3801961539129951,0.37688575741351393,0.37688575741351393,0.37523119536297167,0.37523119536297167,0.37523119536297167
20260310_003731,houses,regression,A-HDMR-200,True,200,2,42,0.3913609325559794,202,1181.93,0.21540802251371355,0.14603539095265927,0.8621638029273175,0.1051856707649723,0.10084991012574791,0.010038101222420137,0.09435371347212082,0.0791081966720569,0.043767762098014557,0.004760718936289502,0.011420209417556285,0.03702142833085215,0.5134942889599693,0.01846427772304263,8,0.5660767807640562,0.9418480367992684,0.9619708154673355,0.9826069288304362,0.6466459085645521,3.600606825454242,lossguide,68,0.392044059502473,0.392044059502473,0.3915982060951948,0.3913609325559794,0.3913609325559794,0.3913609325559794
