run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_max_depth,sens_min_child_weight,sens_subsample,sens_colsample_bylevel,sens_colsample_bynode,sens_reg_alpha,sens_reg_lambda,sens_grow_policy,sens_max_leaves,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,1,42,0.5566124707646678,201,4704.2,3.364607549715102,2.2389763958521334,0.6972357520984043,0.20384476574850738,0.2688882407718446,4.433949864040789e-05,0.00851976966115469,0.005574548062414826,0.0023872743854050082,0.021609304030045448,0.0077890004978385255,0.013878746459636035,0.4674640108845129,0.025615438492440287,10,4.9999999999999964,1.0,1.0,0.8901800142057679,1.1980561680197694,5.0,lossguide,1024,0.5596282505149203,0.5596282505149203,0.5596282505149203,0.5596282505149203,0.5571828048348418,0.5566124707646678,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,2,42,0.5654997047700342,201,4180.2,3.427904534511364,2.2398868245559282,0.6891525839337949,0.07643145036553607,0.42304383795263123,0.0011121576215180257,0.007331653532828022,0.002924403357655574,0.00010999332693317383,0.014375719634122878,0.0014444199679931402,0.013685520744781044,0.459540843496001,0.044044331787774886,10,0.0010000000000000002,0.8948496613318682,1.0,0.7839475912499076,0.0001,3.673871522217439,lossguide,1024,0.5740526236942337,0.5740526236942337,0.5658853635335742,0.5658853635335742,0.5654997047700342,0.5654997047700342,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,3,42,0.5573831722281295,201,4712.58,3.305461335806125,2.2248152485681087,0.7006481507762345,0.12409824239394705,0.3720770462559526,0.0031945994555530764,0.003920699167125514,0.011371187838748515,0.00611459342725795,0.006642389456789035,0.006352063002412958,0.011106239515573045,0.45512293948664023,0.03912011952288608,9,0.020222490015555622,0.8439494926851094,0.8360150222433944,0.6,0.0001,0.0001,lossguide,1024,0.56117334390115,0.56117334390115,0.56117334390115,0.5581318515537392,0.5573831722281295,0.5573831722281295,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,4,42,0.5494100481965074,201,4020.95,3.3645221347323058,2.2217720416714735,0.6942551695491013,0.22073305996056036,0.3054494426202908,0.0021598484329079276,0.0007906360192570952,0.010152725666660688,0.0016133539474456713,0.007811907864042022,0.010451294756208035,0.009934319289429146,0.4309034114431984,0.02533352488466972,10,0.0010000000000000002,0.9143589142632136,0.8804887392113745,0.6,1.214019651500725,0.0001,lossguide,179,0.5551318885192773,0.5551318885192773,0.5542875465726116,0.551622847069351,0.5494100481965074,0.5494100481965074,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,5,42,0.5562284737878256,201,4080.3,3.4691153409235667,2.2915507394933696,0.6829832963578387,0.12200618326775531,0.3508275126739825,0.0032000211743232606,0.00429091009844584,0.00596063323330422,0.0014498465475734571,0.001998410402170086,0.0038892587916375754,0.029154739518675764,0.4772224842921319,0.05039725067437799,10,4.9999999999999964,1.0,0.8524972119180195,0.7442668757630458,1.394199165851701,5.0,lossguide,1024,0.5705441249477258,0.5646850611429846,0.5602775962587145,0.5567767442118765,0.5567767442118765,0.5562284737878256,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,6,42,0.5532417271696907,201,4257.1,3.4834793172038525,2.3576698201756123,0.675517482687525,0.1406019635164351,0.3452303672805117,0.0050588616583193595,0.0014780814874029071,0.0034338817205762733,0.02331491547042337,0.008543788320611858,0.017250124289460187,0.011853090197434107,0.44323492605882503,0.05006268416457032,10,0.0010000000000000002,0.6,0.8056457109912039,0.8722791060802795,2.9236064102377513,5.0,lossguide,1024,0.5621533674338032,0.5561113163809288,0.5561113163809288,0.5532417271696907,0.5532417271696907,0.5532417271696907,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,7,42,0.542175536144853,201,3962.83,3.424355528188177,2.270585169837197,0.6924117228501143,0.11206843858458114,0.3669584209114567,0.0007325308300595864,0.006955910774668619,0.0007689253605028277,0.00735336759887255,0.013347832668479817,0.007544314921332633,0.01926288810115461,0.4650073702488916,0.03772950423292535,10,4.9999999999999964,1.0,0.8784871927751992,1.0,0.0001,3.9490174675522347,lossguide,1024,0.552930666055019,0.5459684613240915,0.5459684613240915,0.5441340780780457,0.542175536144853,0.542175536144853,,,
20260323_114520,physiochemical_protein,regression,HDMR-200,False,200,8,42,0.5600719895886215,201,3933.4,3.333162873312809,2.1983268380011607,0.7012776573775512,0.08553102368991909,0.37555159738746474,0.0008394057390308164,0.00698511402519429,0.00398392181574836,0.0012940564203330915,0.010727493915973165,0.008410345649899604,0.015163920639853676,0.49151312071658315,0.04149096458091727,10,1.427641809538526,1.0,0.9834774538212572,1.0,0.0001,3.6518032682052546,lossguide,1024,0.5761241582513206,0.5607786489891183,0.5607786489891183,0.5607786489891183,0.5607786489891183,0.5600719895886215,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,1,42,0.5567051232624298,402,8474.63,3.3211637189095033,2.181971264048068,0.7050038624779158,0.010753726922817319,0.39883692757009764,7.200954520973345e-05,2.1712974731042227e-06,1.618708547494844e-05,2.638600897750818e-05,8.105147904749237e-07,3.716088893806417e-05,1.2510219625370442e-07,0.5902544950640249,0.014130191969432774,10,0.01940424871217617,1.0,0.637597666241864,0.9625594097963224,0.5682821573820565,2.1226809255461054,lossguide,668,0.5617540659615182,0.5612208745744118,0.5609587336374816,0.5581574780491338,0.5581574780491338,0.5581574780491338,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,2,42,0.566582194273685,402,6500.89,3.4339235751197665,2.3017460334662982,0.6880599946600191,0.2796115213788495,0.6274454096851676,0.00046478659292894647,0.00040851929763519685,8.519758594504184e-05,0.0002030170220224241,5.924261064574565e-06,1.509089099369028e-05,0.00018939441648037193,0.09157113886891263,0.02055178162422789,10,0.0027800885188337806,0.9610511288387701,0.9408631179319333,0.8119056881738358,4.534001790337505,2.821414284885945,lossguide,1024,0.5749308511364122,0.5749308511364122,0.566582194273685,0.566582194273685,0.566582194273685,0.566582194273685,,,
