run_id,method,dataset,fold,test_rmse,best_val_rmse,n_evals,duration_sec,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260305_122025,random_search,airfoil_self_noise,1,1.2714489859669176,0.17833685386410134,200,506.87,0.03149715983190477,9,0.5297844424704579,0.9500627885497221,0.9368950785279412,0.6816268262352467,0.016871362067704603,2.0871257469002127,lossguide,16,0.19343321811528993,0.18757694336417569,0.18757694336417569,0.18757694336417569,0.17833685386410134,0.17833685386410134
20260305_122025,random_search,airfoil_self_noise,2,1.3922965593606238,0.20220938133126035,200,528.07,0.032776855355912515,9,0.0015630408831234933,0.6410590719659423,0.889134279204125,0.7353710704075049,0.10982382936262283,1.6028179440631694,lossguide,305,0.23308666331920436,0.23045649633605703,0.20220938133126035,0.20220938133126035,0.20220938133126035,0.20220938133126035
20260305_122025,random_search,airfoil_self_noise,3,1.220697405321924,0.21770131554871527,200,593.55,0.026724852837260542,7,0.0016151987452238269,0.9244338810545294,0.8587254622017317,0.7241694560688428,0.023177962662238424,3.564853647984179,lossguide,708,0.249247204751726,0.24540667112995065,0.2355285024355744,0.21770131554871527,0.21770131554871527,0.21770131554871527
20260305_122025,random_search,airfoil_self_noise,4,1.2230860140889586,0.22019452306259174,200,364.06,0.09950515161872282,7,0.018159106712202094,0.9064076384201115,0.614762418840686,0.7778305646622768,0.024421966125340318,1.5889563671025029,depthwise,400,0.274568191666467,0.25675671849256054,0.23784318335310062,0.2259225616207938,0.22019452306259174,0.22019452306259174
20260305_122025,random_search,airfoil_self_noise,5,1.1841989902841286,0.2408550286931977,200,408.71,0.03739735401561129,7,0.04359773324385766,0.8365099172214745,0.8651114086861122,0.9958808030961294,0.06690531379670017,3.9858802785918157,lossguide,461,0.24928801139497597,0.2408550286931977,0.2408550286931977,0.2408550286931977,0.2408550286931977,0.2408550286931977
20260305_122025,random_search,airfoil_self_noise,6,1.5785150699083659,0.19982980944889933,200,366.78,0.01413797846108893,8,0.0014584824092464042,0.7739788108155133,0.9495678809740331,0.990031369603066,0.17358478862941448,4.387493130761897,depthwise,96,0.21586808062149895,0.19982980944889933,0.19982980944889933,0.19982980944889933,0.19982980944889933,0.19982980944889933
20260305_122025,random_search,airfoil_self_noise,7,1.5179007893175829,0.260240908823811,200,437.47,0.013030213364560197,7,0.005372068683130054,0.8991037762990907,0.8223641402213806,0.880809616789983,0.07038415788301873,1.711103710962383,lossguide,18,0.28147300236984935,0.28147300236984935,0.26874595577224364,0.26874595577224364,0.26874595577224364,0.260240908823811
20260305_122025,random_search,airfoil_self_noise,8,1.6761644822127164,0.2072289452210937,200,557.98,0.005742073860835913,7,0.0019791931809442697,0.8689280592171729,0.9848259328474891,0.8427648582607757,0.024430481367748134,1.9556111126953024,lossguide,86,0.2406463708267329,0.2172858929935729,0.2172858929935729,0.2072289452210937,0.2072289452210937,0.2072289452210937
