Method,Mean MAPE,Std MAPE,Best MAPE,Median Time (s),Mean Evaluations
hdmr_adaptive,8.987181147983073,0.229467125008627,8.697114224219318,818.8661427497864,5000.0
optuna,9.103597158753148,0.0611189465225898,9.051515029900887,9.899842739105225,20.0
random_search,9.225467403222623,0.1684570250256226,9.00765362552636,13.94229793548584,20.0
hdmr_standard,9.64956101269887,0.5452686660223968,9.006204185719714,44.20407032966614,200.0
default,9.663572217145418,0.0,9.663572217145418,0.2000026702880859,1.0
