Model,MAE,MAPE (%),RMSE,Opt Time (s),Evals
ARIMA,3.054958,19.90927,3.808327,409.16,200
ETS,2.013056,13.771152,2.639323,157.86,200
LIGHTGBM,1.899619,12.723548,2.542885,648.33,200
XGBOOST,1.561528,10.336508,2.174479,145.04,200
