Parameter,Total_Variance_Mean,Total_Variance_Std,Mean_Abs_Coeff_Mean,Mean_Abs_Coeff_Std,Max_Abs_Coeff_Mean,Max_Abs_Coeff_Std,Dominant_Degree_Mean,Dominant_Degree_Std,Significant_Degrees_Mean,Significant_Degrees_Std,Relative_Importance_Mean,Relative_Importance_Std
min_child_weight,0.7696378799048128,0.2270745979601905,0.2208867362695676,0.0290183557822028,0.5619659450828242,0.0843037242833911,6.0,4.58257569495584,5.666666666666667,1.1547005383792517,46.79253757071933,7.217324702039298
max_depth,0.5531869773808422,0.0489080230605775,0.1883413100909795,0.0083253767662007,0.4455788000844644,0.0269011236951802,5.666666666666667,2.516611478423584,4.666666666666667,0.5773502691896257,34.77329546337452,7.502741340720474
gamma,0.2289083419523676,0.0632903032241411,0.1220507639829276,0.0240757379037887,0.2647984754555973,0.0244416590152761,2.333333333333333,2.309401076758504,5.666666666666667,1.5275252316519463,14.199576243326725,3.8897345904206255
subsample,0.0265045027258071,0.0156007938820055,0.0397739103780645,0.0136875978336404,0.1081737383596614,0.0224639230643662,8.0,2.0,4.666666666666667,1.5275252316519463,1.5950977266530555,0.758602995137005
learning_rate,0.0231374580919368,0.0105179179591178,0.0389749079854704,0.0107788443168261,0.0933009351931816,0.0196155714988532,4.0,5.196152422706632,4.666666666666667,1.1547005383792517,1.3888451007948674,0.5179886631843709
colsample_bytree,0.0197531615261921,0.0042781037496455,0.0380652983997483,0.0055603320438339,0.0806653794303089,0.018681395843799,6.0,1.0,6.0,1.0,1.2506478951314957,0.4219660722372197
